model,decoding_group,category,n_runs,justifications_per_run,mean_total_occurrences_per_run,std_total_occurrences_per_run,mean_occurrences_per_justification,std_occurrences_per_justification,mean_occurrences_per_100_words,std_occurrences_per_100_words,mean_justifications_with_item_per_run,std_justifications_with_item_per_run,mean_pct_justifications_with_item,std_pct_justifications_with_item
Gemma 4 2B,Stochastic,Comparison,3,191.0,125.66666666666667,3.2145502536643202,0.6579406631762653,0.016830106040127274,1.0206523098725298,0.02197795343623983,115.66666666666667,2.081665999466134,60.55846422338569,1.089877486631481
Gemma 4 2B,Stochastic,Contingency,3,191.0,377.3333333333333,5.131601439446892,1.975567190226876,0.026867023243177517,3.064989969196016,0.05409878870770564,176.33333333333334,3.7859388972001797,92.32111692844677,1.982166961884906
Gemma 4 2B,Stochastic,Expansion,3,191.0,496.6666666666667,15.885003409925144,2.600349040139616,0.08316755712002699,4.034005911713253,0.12249466351452826,178.33333333333334,4.725815626252612,93.36823734729494,2.4742490189804234
Gemma 4 2B,Stochastic,Temporal,3,191.0,82.33333333333333,8.736894948054104,0.431064572425829,0.045742905487194285,0.6686121557788473,0.06905587292186806,64.33333333333333,6.110100926607785,33.682373472949386,3.1990057207370604
Gemma 4 2B,Greedy,Comparison,1,191.0,137.0,,0.7172774869109948,,1.1103906629923812,,124.0,,64.92146596858639,
Gemma 4 2B,Greedy,Contingency,1,191.0,377.0,,1.9738219895287958,,3.0556005835629763,,178.0,,93.19371727748691,
Gemma 4 2B,Greedy,Expansion,1,191.0,511.0,,2.675392670157068,,4.141676122548225,,180.0,,94.24083769633508,
Gemma 4 2B,Greedy,Temporal,1,191.0,76.0,,0.39790575916230364,,0.6159831415140217,,65.0,,34.031413612565444,
