model,feature,odds_ratio,ci_lo,ci_hi,z,p,p_bonferroni
2B,pt_accusation,1.3613267122044401,1.0875417266688894,1.704036150445173,2.6925331244748585,0.007091149109911994,0.09218493842885592
2B,pt_defense,1.458304859127882,1.1630704621763706,1.828481705378828,3.268884423112348,0.001079723955152175,0.014036411416978273
2B,pt_interrogation,1.1191778112407311,0.89657749568156,1.3970448502295096,0.9951299710332224,0.31967305557899317,1.0
2B,pt_identity_declaration,0.8847520495009746,0.6899543132114943,1.1345478593395282,-0.9650787819561433,0.3345053535733906,1.0
2B,pt_evidence,0.9478336934163212,0.7663872181143478,1.1722386401298015,-0.4941815958499187,0.6211779361647596,1.0
2B,pt_call_for_action,0.9732638570625709,0.8005162136038232,1.1832896315740387,-0.2718348609110769,0.7857489990389672,1.0
2B,n_utterances,0.47947725599613833,0.31559272623893203,0.728465582072803,-3.4446771808779233,0.0005717417805487318,0.007432643147133514
2B,werewolf_count,2.1716235334491802,1.7556807946178767,2.6861083093733606,7.148635282109663,8.764484959019683e-13,1.1393830446725588e-11
2B,deception_count,1.053081553516689,0.909634853090636,1.2191493703096097,0.6922806938259282,0.48876107184125417,1.0
2B,claims_werewolf,1.7890156988969688,1.504664771523221,2.1271031471413804,6.586334531031605,4.508174539418378e-11,5.860626901243891e-10
2B,claims_info_role,0.9179239097080973,0.7368333951824338,1.1435207870907946,-0.7638401389314579,0.44496251372894347,1.0
2B,n_distinct_roles_claimed_self,0.9775418749885014,0.7044048820622841,1.3565892879083439,-0.13586019786067638,0.8919318011617409,1.0
2B,is_circle_option,1.3048575303738283,1.0955967488802054,1.5540874654050818,2.983752111780107,0.0028473735193266154,0.037015855751246
31B,pt_accusation,1.2496931549769343,0.9866494954341425,1.5828650283847914,1.8485360022453847,0.06452484114565679,0.8388229348935383
31B,pt_defense,1.2779386600413156,1.0028111854317299,1.6285490654206256,1.9826949673420944,0.047401512086106726,0.6162196571193874
31B,pt_interrogation,0.9669083283459939,0.7576648147742623,1.2339384081117595,-0.27046834017862786,0.7867999704378003,1.0
31B,pt_identity_declaration,0.8732121350262596,0.6913945575676916,1.102842688608328,-1.1381885172308266,0.25504177244713244,1.0
31B,pt_evidence,0.9169194887772694,0.737093781881076,1.1406165261006307,-0.7787368765208419,0.4361347285355366,1.0
31B,pt_call_for_action,1.1843414079739243,0.953890853410534,1.4704665273040216,1.532426733929306,0.12541716454689414,1.0
31B,n_utterances,0.6691889223250767,0.4388617388587969,1.0203983945537818,-1.8661857516051583,0.062015381841397745,0.8061999639381707
31B,werewolf_count,2.060391690117655,1.680020737174987,2.5268818549492207,6.942410624908505,3.854648237095789e-12,5.011042708224526e-11
31B,deception_count,1.342386908672707,1.111958512657902,1.6205664078856319,3.0644698845352645,0.0021805612695212826,0.028347296503776674
31B,claims_werewolf,1.367186334855038,1.1590072845882187,1.6127581759578464,3.7108528357502455,0.00020656216804250583,0.002685308184552576
31B,claims_info_role,0.7851425972480052,0.6302026834765315,0.9781756158394707,-2.156746039908429,0.031025457579299878,0.4033309485308984
31B,n_distinct_roles_claimed_self,1.1993254400587907,0.8948156893229717,1.607461210543267,1.2162925074447037,0.22387351470389505,1.0
31B,is_circle_option,1.0501496252766458,0.8542569170067659,1.2909631909482626,0.4645446384665981,0.6422575858094721,1.0
4B,pt_accusation,1.0570764423892935,0.8240978269063515,1.355919853895435,0.4369700419849036,0.6621330744274032,1.0
4B,pt_defense,1.2058208352381707,0.9334110230459784,1.5577316431829384,1.4325551567165364,0.15198500479682492,1.0
4B,pt_interrogation,0.9457164099064413,0.7700708798888585,1.161424943240823,-0.5324270753659018,0.5944302369234229,1.0
4B,pt_identity_declaration,1.0105429309390899,0.7662855887511064,1.332658515652519,0.07429294841285748,0.9407772878784654,1.0
4B,pt_evidence,0.9388590042019994,0.7450573861957779,1.18307159435307,-0.5348363228390415,0.5927630436695922,1.0
4B,pt_call_for_action,0.99190056040731,0.8071970652577821,1.2188680609513034,-0.07735574309395173,0.9383405471321526,1.0
4B,n_utterances,0.9553037512499198,0.6398727099920302,1.4262293779704023,-0.22363208197507206,0.8230435980160994,1.0
4B,werewolf_count,1.641361602880981,1.3332047707065218,2.0207457778480067,4.670717120640062,3.001500413844961e-06,3.90195053799845e-05
4B,deception_count,1.212976369112482,1.0167014850374259,1.4471422474327744,2.1439209897972082,0.032039218064242786,0.41650983483515625
4B,claims_werewolf,1.922665126943929,1.63205718633091,2.2650194008684674,7.818808817619628,5.332552640069551e-15,6.932318432090417e-14
4B,claims_info_role,0.9363983197209939,0.7716693463960625,1.1362921402430022,-0.6656859257705833,0.505611871325661,1.0
4B,n_distinct_roles_claimed_self,0.9011375034896687,0.6696893699656263,1.2125753171761908,-0.6873341803903685,0.49187216429178093,1.0
4B,is_circle_option,0.8038936235960328,0.6370993022232664,1.0143551496653322,-1.8398663187891904,0.06578786595540709,0.8552422574202921
