model,decoding_group,n_games_predictable,n_games_unpredictable,n_instances_predictable,n_instances_unpredictable,mean_predictable,mean_unpredictable,diff,ci_low,ci_high,excludes_zero,inconclusive_at_this_n
2B,Greedy,94,49,94,49,3.293,2.568,0.725,0.126,1.301,True,False
2B,Stochastic,126,83,284,153,3.135,3.149,-0.014,-0.428,0.4,False,True
31B,Greedy,90,77,90,77,2.435,3.019,-0.584,-1.116,-0.055,True,False
31B,Stochastic,121,94,295,209,2.689,2.941,-0.252,-0.65,0.159,False,True
4B,Greedy,111,62,111,62,2.326,2.183,0.144,-0.275,0.545,False,True
4B,Stochastic,134,99,325,214,2.205,1.997,0.209,-0.055,0.475,False,True
