feature,coef
candidate_Call for Action,1.7411039761921165
candidate_Identity Declaration,1.1681531370719735
voter_Evidence,0.826901954821778
candidate_Defense,0.7992051320014334
voter_Interrogation,0.7327432252615512
voter_Accusation,0.7071076654787176
voter_No Strategy,0.517024241647521
candidate_Interrogation,0.4846722653322017
candidate_No Strategy,0.4038256729400528
voter_Call for Action,0.2736648854532233
role_Drunk,0.2350069607452384
role_Werewolf,0.18575725009146316
voter_Defense,0.17760677789391674
role_Villager,0.16819443909954057
role_Tanner,0.16522682652891854
role_Robber,0.14865435086885026
role_Insomniac,0.14830413047874202
role_Troublemaker,0.1224595844610075
role_Seer,0.09658272193680574
role_Hunter,-0.011511110135867059
role_Mason,-0.06557947252146062
role_Doppelganger,-0.14416505440686758
role_Minion,-0.3488336211961001
voter_Identity Declaration,-0.4085933156961711
candidate_Accusation,-0.6247072947525816
candidate_Evidence,-1.1205270796572413
