model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 4B,Stochastic,run_1,Uncertainty,Mechanical,False,191,5,0.02617801047120419,0.5863874345549738,0.05235602094240838,0.8526785714285715
Gemma 4 4B,Stochastic,run_1,Uncertainty,Testimony,False,191,47,0.24607329842931938,0.5863874345549738,0.5549738219895288,0.7561489218328841
Gemma 4 4B,Stochastic,run_1,Uncertainty,SocialJudgment,False,191,40,0.2094240837696335,0.5863874345549738,0.5078534031413613,0.703240058910162
Gemma 4 4B,Stochastic,run_1,Uncertainty,Behavioral,False,191,23,0.12041884816753927,0.5863874345549738,0.24607329842931938,0.8345364741641338
Gemma 4 4B,Stochastic,run_1,Uncertainty,ClaimComparison,False,191,8,0.041884816753926704,0.5863874345549738,0.12041884816753927,0.5931677018633541
Gemma 4 4B,Stochastic,run_1,Uncertainty,Payoff,False,191,52,0.27225130890052357,0.5863874345549738,0.6020942408376964,0.7711180124223603
Gemma 4 4B,Stochastic,run_1,Uncertainty,Uncertainty,True,191,112,0.5863874345549738,0.5863874345549738,0.5863874345549738,
Gemma 4 4B,Stochastic,run_2,Mechanical,Mechanical,True,191,18,0.09424083769633508,0.09424083769633508,0.09424083769633508,
Gemma 4 4B,Stochastic,run_2,Mechanical,Testimony,False,191,11,0.05759162303664921,0.09424083769633508,0.5968586387434555,1.023879142300195
Gemma 4 4B,Stochastic,run_2,Mechanical,SocialJudgment,False,191,4,0.020942408376963352,0.09424083769633508,0.5078534031413613,0.4375715922107674
Gemma 4 4B,Stochastic,run_2,Mechanical,Behavioral,False,191,2,0.010471204188481676,0.09424083769633508,0.21465968586387435,0.5176151761517616
Gemma 4 4B,Stochastic,run_2,Mechanical,ClaimComparison,False,191,1,0.005235602094240838,0.09424083769633508,0.06806282722513089,0.8162393162393162
Gemma 4 4B,Stochastic,run_2,Mechanical,Payoff,False,191,12,0.06282722513089005,0.09424083769633508,0.6387434554973822,1.0437158469945353
Gemma 4 4B,Stochastic,run_2,Mechanical,Uncertainty,False,191,8,0.041884816753926704,0.09424083769633508,0.5863874345549738,0.757936507936508
Gemma 4 4B,Stochastic,run_2,Testimony,Mechanical,False,191,11,0.05759162303664921,0.5968586387434555,0.09424083769633508,1.023879142300195
Gemma 4 4B,Stochastic,run_2,Testimony,Testimony,True,191,114,0.5968586387434555,0.5968586387434555,0.5968586387434555,
Gemma 4 4B,Stochastic,run_2,Testimony,SocialJudgment,False,191,62,0.32460732984293195,0.5968586387434555,0.5078534031413613,1.070898896726352
Gemma 4 4B,Stochastic,run_2,Testimony,Behavioral,False,191,33,0.17277486910994763,0.5968586387434555,0.21465968586387435,1.3485237483953787
Gemma 4 4B,Stochastic,run_2,Testimony,ClaimComparison,False,191,12,0.06282722513089005,0.5968586387434555,0.06806282722513089,1.5465587044534412
Gemma 4 4B,Stochastic,run_2,Testimony,Payoff,False,191,94,0.49214659685863876,0.5968586387434555,0.6387434554973822,1.2909117054932413
Gemma 4 4B,Stochastic,run_2,Testimony,Uncertainty,False,191,48,0.2513089005235602,0.5968586387434555,0.5863874345549738,0.7180451127819549
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Mechanical,False,191,4,0.020942408376963352,0.5078534031413613,0.09424083769633508,0.4375715922107674
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Testimony,False,191,62,0.32460732984293195,0.5078534031413613,0.5968586387434555,1.070898896726352
Gemma 4 4B,Stochastic,run_2,SocialJudgment,SocialJudgment,True,191,97,0.5078534031413613,0.5078534031413613,0.5078534031413613,
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Behavioral,False,191,25,0.13089005235602094,0.5078534031413613,0.21465968586387435,1.2006537591149105
