model,whole,part,n_games,base_pct,ft_pct,delta_pct,ci_low,ci_high,ci_excludes_zero
Gemma 4 2B,Contingency,Contingency.Cause,190,84.06618461338023,86.23535297103275,2.1691683576525236,-2.432477883249578,6.738823027369133,False
Gemma 4 2B,Contingency,Contingency.Condition,190,15.933815386619765,13.764647028967252,-2.169168357652513,-6.738823027369134,2.4324778832495713,False
Gemma 4 2B,Temporal,Temporal.Asynchronous,190,68.52860046457609,82.40398122451778,13.875380759941692,2.530914794605077,25.204905309270007,True
Gemma 4 2B,Temporal,Temporal.Synchrony,190,31.471399535423927,17.596018775482236,-13.875380759941692,-25.204905309270003,-2.5309147946050894,True
Gemma 4 2B,Comparison,Comparison.Contrast,190,97.67884947726844,98.00307219662058,0.32422271935213587,-1.8572655297730516,2.5028464811624347,False
Gemma 4 2B,Expansion,Expansion.Conjunction,190,96.49933744810862,98.2667964946446,1.7674590465359756,-0.7928404469554461,4.27073140884019,False
Gemma 4 4B,Contingency,Contingency.Cause,191,84.56654456654456,85.80310324222343,1.2365586756788645,-5.461248157812516,8.17385278278574,False
Gemma 4 4B,Contingency,Contingency.Condition,191,15.433455433455434,14.196896757776571,-1.2365586756788627,-8.173852782785739,5.4612481578124985,False
Gemma 4 4B,Temporal,Temporal.Asynchronous,191,74.59747329028374,75.69682090958686,1.099347619303117,-9.37348210967406,11.481520218743368,False
Gemma 4 4B,Temporal,Temporal.Synchrony,191,25.402526709716252,24.303179090413135,-1.099347619303117,-11.481520218743372,9.373482109674066,False
Gemma 4 4B,Comparison,Comparison.Contrast,191,98.7644350376889,98.73598807373641,-0.028446963952490023,-1.374913778636649,1.3347306714057083,False
Gemma 4 4B,Expansion,Expansion.Conjunction,191,99.35275080906149,99.04878618113912,-0.3039646279223689,-1.6835070093532658,1.0493701909099682,False
Gemma 4 31B,Contingency,Contingency.Cause,188,54.967357886006596,53.78931208235391,-1.1780458036526866,-7.29461467399024,5.122784426455025,False
Gemma 4 31B,Contingency,Contingency.Condition,188,45.032642113993404,46.21068791764609,1.1780458036526866,-5.122784426455025,7.294614673990246,False
Gemma 4 31B,Temporal,Temporal.Asynchronous,188,82.122578759491,85.46408393866021,3.3415051791692036,-2.86397031970555,9.659368845328643,False
Gemma 4 31B,Temporal,Temporal.Synchrony,188,17.877421240508994,14.53591606133979,-3.3415051791692036,-9.659368845328641,2.863970319705565,False
Gemma 4 31B,Comparison,Comparison.Contrast,188,96.50712250712252,96.77604375083367,0.2689212437111479,-2.512438355448817,3.1829435007136517,False
Gemma 4 31B,Expansion,Expansion.Conjunction,188,97.44810388937465,97.08410419939025,-0.36399968998439647,-2.596424880731951,1.883386640312816,False
