model,role,opportunity_share,base_lift,ft_lift,delta,d_ci_low,d_ci_high,sig,in_figure
E2B,Center Card,0.00414181577203446,0.0,0.0,0.0,0.0,0.0,False,False
E2B,Doppelganger,0.0026507620941020544,0.0,0.0,0.0,0.0,0.0,False,False
E2B,Drunk,0.01013916500994036,0.3896103896103896,1.5789473684210527,1.1893369788106631,-0.19999999999999996,2.658227848101266,False,False
E2B,Hunter,0.03373094764744865,1.1612903225806452,1.5189873417721513,0.3576970191915061,-0.3175378671723126,1.2272336629785816,False,False
E2B,Insomniac,0.07150430748840292,1.1870503597122302,1.0325047801147227,-0.15454557959750748,-0.49823638624632033,0.15811457047180769,False,True
E2B,Mason,0.00944333996023857,0.5555555555555555,0.3389830508474576,-0.21657250470809786,-2.4,1.142857142857143,False,False
E2B,Minion,0.05228628230616302,0.7822685788787483,0.8138101109741059,0.031541532095357594,-0.21709504532739687,0.28212910222131465,False,True
E2B,Moderator,0.002485089463220676,0.0,0.0,0.0,0.0,0.0,False,False
E2B,Revealer,0.0029821073558648115,0.0,0.0,0.0,0.0,0.0,False,False
E2B,Robber,0.1960569913850232,1.2166272389320716,1.3590263691683573,0.1423991302362857,-0.08577716633149804,0.37167907718297405,False,True
E2B,Seer,0.15556660039761433,0.5650684931506849,0.5086901229334464,-0.05637837021723846,-0.3011233134195036,0.18992073358333716,False,True
E2B,Tanner,0.15795228628230615,1.4906832298136652,1.2892956625547156,-0.20138756725894957,-0.5102015727696906,0.10861680583594581,False,True
E2B,Troublemaker,0.19970178926441348,0.6376195536663126,0.7303370786516855,0.09271752498537289,-0.12555449068597183,0.3074660542206103,False,True
E2B,Villager,0.10135851557322731,1.3441955193482689,1.1727616645649432,-0.17143385478332562,-0.4426794092914579,0.04304010157569817,False,True
E4B,Center Card,0.00630381303813038,0.7741935483870966,1.2,0.4258064516129033,-1.4545454545454546,3.0,False,False
E4B,Doppelganger,0.003413284132841328,0.0,0.0,0.0,0.0,0.0,False,False
E4B,Drunk,0.012115621156211563,0.22988505747126434,0.4511278195488722,0.22124276207760787,0.0,0.8794460408684545,False,False
E4B,Hunter,0.027091020910209103,1.8218623481781377,1.085271317829457,-0.7365910303486807,-1.2842265510526414,-0.08772046546440966,True,False
E4B,Insomniac,0.06466789667896679,0.8715596330275229,0.8301886792452831,-0.04137095378223987,-0.579546396413567,0.4795495326488977,False,True
E4B,Mason,0.013437884378843789,0.8695652173913044,1.043478260869565,0.17391304347826053,-1.1811250805931657,1.6182429592265657,False,False
E4B,Minion,0.046678966789667896,0.7333333333333333,1.0679611650485439,0.3346278317152106,-0.20761815307190942,0.947461336000391,False,True
E4B,Moderator,0.004612546125461254,0.0,0.0,0.0,0.0,0.0,False,False
E4B,Revealer,0.002306273062730627,0.0,0.0,0.0,0.0,0.0,False,False
E4B,Robber,0.1938191881918819,1.2149791955617195,1.223128243143069,0.008149047581349489,-0.25792658137536056,0.2826422734540167,False,True
E4B,Seer,0.1701722017220172,0.914866581956798,0.6286672254819782,-0.28619935647481987,-0.5905074827526161,0.009690054703150939,False,True
E4B,Tanner,0.14031365313653135,1.187010078387458,1.3057324840764333,0.1187224056889753,-0.2076805930103574,0.45583419822492327,False,True
E4B,Troublemaker,0.19929274292742924,0.7081038552321006,0.6746626686656673,-0.033441186566433356,-0.26443960953612344,0.18566992005275365,False,True
E4B,Villager,0.11577490774907746,1.2699905926622768,1.50091519219036,0.2309245995280833,-0.12327746460988952,0.5914589846035115,False,True
