model,category,is_substantive,n_games,n_justifications_per_condition,n_justifications_ft,mean_runs_per_game_base,mean_runs_per_game_ft,base_pct,derivation_pct,delta_pp,ci_low,ci_high,ci_excludes_zero,n_replicates,seed
Gemma 4 4B,Behavioral,True,191,573,573,3.0,3.0,58.115183246073286,25.305410122164044,-32.80977312390924,-38.04537521815009,-27.399650959860377,True,10000,20260826
Gemma 4 4B,Testimony,True,191,573,573,3.0,3.0,75.39267015706807,57.59162303664922,-17.801047120418843,-22.687609075043625,-13.089005235602091,True,10000,20260826
Gemma 4 4B,Payoff,True,191,573,573,3.0,3.0,71.90226876090749,63.35078534031414,-8.551483420593353,-13.961605584642244,-3.141361256544495,True,10000,20260826
Gemma 4 4B,ClaimComparison,True,191,573,573,3.0,3.0,18.32460732984293,9.947643979057592,-8.376963350785338,-12.216404886561957,-4.537521815008725,True,10000,20260826
Gemma 4 4B,SocialJudgment,True,191,573,573,3.0,3.0,56.195462478184986,51.13438045375218,-5.061082024432806,-10.645724258289702,0.5235602094240899,False,10000,20260826
Gemma 4 4B,Mechanical,True,191,573,573,3.0,3.0,6.980802792321117,7.329842931937172,0.3490401396160553,-2.268760907504365,2.9668411867364735,False,10000,20260826
Gemma 4 4B,Other,False,191,573,573,3.0,3.0,0.5235602094240838,1.2216404886561953,0.6980802792321115,-0.3490401396160558,1.7452006980802792,False,10000,20260826
Gemma 4 4B,Uncertainty,True,191,573,573,3.0,3.0,42.582897033158815,57.417102966841185,14.834205933682366,9.77312390924956,20.24432809773124,True,10000,20260826
