model,decoding_group,pair,joint_prevalence_mean,prevalence_a_mean,prevalence_b_mean,support_mean,support_total,lift_mean,lift_sd,support_is_thin,min_support_threshold
Gemma 4 4B,Stochastic,Mechanical + Testimony,0.06457242582897033,0.06980802792321117,0.7539267015706805,12.333333333333334,37,1.2353331075917,0.11808920917051223,False,10.0
Gemma 4 4B,Stochastic,ClaimComparison + Uncertainty,0.05584642233856893,0.18324607329842932,0.4258289703315881,10.666666666666666,32,0.7125390863930762,0.20056787785254526,False,10.0
Gemma 4 4B,Stochastic,Mechanical + Payoff,0.05410122164048866,0.06980802792321117,0.719022687609075,10.333333333333334,31,1.0807111434317316,0.09688735036134657,False,10.0
Gemma 4 4B,Stochastic,Behavioral + Mechanical,0.027923211169284468,0.581151832460733,0.06980802792321117,5.333333333333333,16,0.6673427187912289,0.17087384616763823,True,10.0
Gemma 4 4B,Stochastic,Mechanical + SocialJudgment,0.02617801047120419,0.06980802792321117,0.56195462478185,5.0,15,0.6559802080635414,0.17683248189970865,True,10.0
Gemma 4 4B,Stochastic,Mechanical + Uncertainty,0.017452006980802792,0.06980802792321117,0.4258289703315881,3.3333333333333335,10,0.5889176430294851,0.24994626302154435,True,10.0
Gemma 4 4B,Stochastic,ClaimComparison + Mechanical,0.008726003490401396,0.18324607329842932,0.06980802792321117,1.6666666666666667,5,0.6513053898877329,0.35596932045851293,True,10.0
Gemma 4 31B,Stochastic,Behavioral + Testimony,0.6073298429319371,0.6160558464223386,0.9825479930191973,116.0,348,1.0032990245699673,0.005170066137203984,False,10.0
Gemma 4 31B,Stochastic,ClaimComparison + Testimony,0.5724258289703316,0.5724258289703316,0.9825479930191973,109.33333333333333,328,1.0178843457118933,0.013686748125981677,False,10.0
Gemma 4 31B,Stochastic,Mechanical + Testimony,0.518324607329843,0.5287958115183246,0.9825479930191973,99.0,297,0.9976385524815005,0.003584368494177661,False,10.0
Gemma 4 31B,Stochastic,Behavioral + ClaimComparison,0.39092495636998253,0.6160558464223386,0.5724258289703316,74.66666666666667,224,1.109474716186452,0.02545800507184195,False,10.0
Gemma 4 31B,Stochastic,Behavioral + Mechanical,0.29842931937172773,0.6160558464223386,0.5287958115183246,57.0,171,0.9164124503693881,0.039527791999357624,False,10.0
Gemma 4 31B,Stochastic,SocialJudgment + Testimony,0.2914485165794067,0.29842931937172773,0.9825479930191973,55.666666666666664,167,0.991593206772131,0.01762495423934996,False,10.0
Gemma 4 31B,Stochastic,Payoff + Testimony,0.2670157068062827,0.2757417102966841,0.9825479930191973,51.0,153,0.9866125430814062,0.009497572299454006,False,10.0
Gemma 4 31B,Stochastic,ClaimComparison + Mechanical,0.2582897033158813,0.5724258289703316,0.5287958115183246,49.333333333333336,148,0.8550787584005538,0.05605916424137581,False,10.0
Gemma 4 31B,Stochastic,Behavioral + SocialJudgment,0.18150087260034906,0.6160558464223386,0.29842931937172773,34.666666666666664,104,0.9835543400586418,0.03973986200982995,False,10.0
Gemma 4 31B,Stochastic,Behavioral + Payoff,0.15706806282722513,0.6160558464223386,0.2757417102966841,30.0,90,0.9267660105496974,0.08467422964965747,False,10.0
Gemma 4 31B,Stochastic,ClaimComparison + SocialJudgment,0.14136125654450263,0.5724258289703316,0.29842931937172773,27.0,81,0.8316497393269534,0.08821450423099961,False,10.0
Gemma 4 31B,Stochastic,Mechanical + Payoff,0.12914485165794065,0.5287958115183246,0.2757417102966841,24.666666666666668,74,0.8670162778989763,0.19315901831873833,False,10.0
Gemma 4 31B,Stochastic,ClaimComparison + Payoff,0.1273996509598604,0.5724258289703316,0.2757417102966841,24.333333333333332,73,0.8096658425967872,0.08787395660314809,False,10.0
Gemma 4 31B,Stochastic,Mechanical + SocialJudgment,0.12390924956369982,0.5287958115183246,0.29842931937172773,23.666666666666668,71,0.7846982439840624,0.053255525355719084,False,10.0
Gemma 4 31B,Stochastic,Testimony + Uncertainty,0.10645724258289703,0.9825479930191973,0.10820244328097732,20.333333333333332,61,1.0022414300689777,0.015450114034936437,False,10.0
Gemma 4 31B,Stochastic,ClaimComparison + Uncertainty,0.055846422338568937,0.5724258289703316,0.10820244328097732,10.666666666666666,32,0.920009935318784,0.19739613706637946,False,10.0
Gemma 4 31B,Stochastic,Payoff + SocialJudgment,0.05410122164048866,0.2757417102966841,0.29842931937172773,10.333333333333334,31,0.664582772470827,0.1415298930238725,False,10.0
Gemma 4 31B,Stochastic,Behavioral + Uncertainty,0.04886561954624782,0.6160558464223386,0.10820244328097732,9.333333333333334,28,0.723040389269074,0.1407968044857338,True,10.0
Gemma 4 31B,Stochastic,SocialJudgment + Uncertainty,0.03664921465968587,0.29842931937172773,0.10820244328097732,7.0,21,1.1112243429568798,0.2546799211718117,True,10.0
Gemma 4 31B,Stochastic,Payoff + Uncertainty,0.034904013961605584,0.2757417102966841,0.10820244328097732,6.666666666666667,20,1.187414398219483,0.22646843453363952,True,10.0
Gemma 4 31B,Stochastic,Mechanical + Uncertainty,0.0331588132635253,0.5287958115183246,0.10820244328097732,6.333333333333333,19,0.5838021302130213,0.10762717624705571,True,10.0
Gemma 4 2B,Greedy,Payoff + Uncertainty,0.5445026178010471,0.900523560209424,0.6387434554973822,104.0,104,0.9466260007624858,,False,10.0
Gemma 4 2B,Greedy,Payoff + Testimony,0.5287958115183246,0.900523560209424,0.5445026178010471,101.0,101,1.0784324686940965,,False,10.0
Gemma 4 2B,Greedy,Payoff + SocialJudgment,0.4607329842931937,0.900523560209424,0.5078534031413613,88.0,88,1.0074322704387435,,False,10.0
Gemma 4 2B,Greedy,Testimony + Uncertainty,0.2931937172774869,0.5445026178010471,0.6387434554973822,56.0,56,0.8430012610340478,,False,10.0
Gemma 4 2B,Greedy,SocialJudgment + Uncertainty,0.2617801047120419,0.5078534031413613,0.6387434554973822,50.0,50,0.8069967889133005,,False,10.0
Gemma 4 2B,Greedy,SocialJudgment + Testimony,0.24607329842931938,0.5078534031413613,0.5445026178010471,47.0,47,0.8898691514670896,,False,10.0
