model,decoding_group,n_justifications,n_games,n_sentences,mean_sentences_per_justification,sd_sentences_per_justification,n_labels,mean_labels_per_justification,mean_distinct_categories,pct_no_substantive_category,pct_correct,n_empty_label_sentences,pct_empty_label_sentences,labels_per_sentence
Gemma 4 2B,Stochastic,573,191,1808,3.155322862129145,0.44872832216862507,2385,4.162303664921466,2.9092495636998255,0.0,40.66317626527051,110,6.084070796460177,1.3191371681415929
Gemma 4 2B,Greedy,191,191,599,3.136125654450262,0.4380623182312931,779,4.0785340314136125,2.8743455497382198,0.0,36.64921465968586,38,6.3439065108514185,1.3005008347245408
Gemma 4 4B,Stochastic,573,191,2230,3.891797556719023,0.4827287104535195,3114,5.43455497382199,3.2949389179755673,0.0,41.18673647469459,111,4.977578475336323,1.3964125560538116
Gemma 4 4B,Greedy,191,191,758,3.968586387434555,0.4218475549332916,988,5.172774869109948,3.1518324607329844,0.0,40.83769633507853,59,7.783641160949868,1.3034300791556728
Gemma 4 31B,Stochastic,573,191,1994,3.479930191972077,0.5748505388111473,3201,5.5863874345549736,3.3821989528795813,0.0,41.710296684118674,70,3.510531594784353,1.6053159478435306
Gemma 4 31B,Greedy,191,191,655,3.4293193717277486,0.5656659397202585,1059,5.544502617801047,3.413612565445026,0.0,43.97905759162304,19,2.900763358778626,1.616793893129771
