decoding_group,category,model_a,model_b,prevalence_a,prevalence_b,difference,ci_low,ci_high,ci_excludes_zero,n_runs_averaged,n_games,n_replicates,seed
Stochastic,Mechanical,Gemma 4 2B,Gemma 4 31B,0.029668411867364745,0.5287958115183246,-0.4991273996509598,-0.5532286212914485,-0.4450261780104712,True,3,191,10000,20260826
Stochastic,Mechanical,Gemma 4 2B,Gemma 4 4B,0.029668411867364745,0.06980802792321117,-0.04013961605584643,-0.06806282722513089,-0.01396160558464224,True,3,191,10000,20260826
Stochastic,Mechanical,Gemma 4 4B,Gemma 4 31B,0.06980802792321117,0.5287958115183246,-0.4589877835951134,-0.5165794066317626,-0.4013961605584642,True,3,191,10000,20260826
Stochastic,Testimony,Gemma 4 2B,Gemma 4 31B,0.5340314136125655,0.9825479930191973,-0.4485165794066318,-0.5043630017452008,-0.3909249563699825,True,3,191,10000,20260826
Stochastic,Testimony,Gemma 4 2B,Gemma 4 4B,0.5340314136125655,0.7539267015706805,-0.21989528795811508,-0.2722513089005235,-0.16753926701570676,True,3,191,10000,20260826
Stochastic,Testimony,Gemma 4 4B,Gemma 4 31B,0.7539267015706805,0.9825479930191973,-0.22862129144851673,-0.2739965095986039,-0.18324607329842946,True,3,191,10000,20260826
Stochastic,SocialJudgment,Gemma 4 2B,Gemma 4 31B,0.5933682373472949,0.29842931937172773,0.2949389179755672,0.22862129144851667,0.36125654450261785,True,3,191,10000,20260826
Stochastic,SocialJudgment,Gemma 4 2B,Gemma 4 4B,0.5933682373472949,0.56195462478185,0.03141361256544495,-0.024432809773123898,0.08551483420593364,False,3,191,10000,20260826
Stochastic,SocialJudgment,Gemma 4 4B,Gemma 4 31B,0.56195462478185,0.29842931937172773,0.26352530541012226,0.19895287958115182,0.32809773123909247,True,3,191,10000,20260826
Stochastic,Behavioral,Gemma 4 2B,Gemma 4 31B,0.1675392670157068,0.6160558464223386,-0.4485165794066318,-0.5043630017452007,-0.39262652705061135,True,3,191,10000,20260826
Stochastic,Behavioral,Gemma 4 2B,Gemma 4 4B,0.1675392670157068,0.581151832460733,-0.4136125654450262,-0.46596858638743455,-0.36300174520069806,True,3,191,10000,20260826
Stochastic,Behavioral,Gemma 4 4B,Gemma 4 31B,0.581151832460733,0.6160558464223386,-0.034904013961605584,-0.09947643979057597,0.03141361256544506,False,3,191,10000,20260826
Stochastic,ClaimComparison,Gemma 4 2B,Gemma 4 31B,0.07853403141361257,0.5724258289703316,-0.49389179755671897,-0.5532286212914485,-0.4345549738219895,True,3,191,10000,20260826
Stochastic,ClaimComparison,Gemma 4 2B,Gemma 4 4B,0.07853403141361257,0.18324607329842932,-0.10471204188481675,-0.14659685863874344,-0.06457242582897034,True,3,191,10000,20260826
Stochastic,ClaimComparison,Gemma 4 4B,Gemma 4 31B,0.18324607329842932,0.5724258289703316,-0.3891797556719022,-0.45549738219895286,-0.3228621291448517,True,3,191,10000,20260826
Stochastic,Payoff,Gemma 4 2B,Gemma 4 31B,0.9092495636998255,0.2757417102966841,0.6335078534031413,0.5793630017452005,0.68760907504363,True,3,191,10000,20260826
Stochastic,Payoff,Gemma 4 2B,Gemma 4 4B,0.9092495636998255,0.719022687609075,0.1902268760907505,0.14310645724258286,0.23560209424083767,True,3,191,10000,20260826
Stochastic,Payoff,Gemma 4 4B,Gemma 4 31B,0.719022687609075,0.2757417102966841,0.44328097731239086,0.3839441535776614,0.5043630017452005,True,3,191,10000,20260826
Stochastic,Uncertainty,Gemma 4 2B,Gemma 4 31B,0.5968586387434555,0.10820244328097732,0.4886561954624781,0.4345549738219895,0.5427574171029669,True,3,191,10000,20260826
Stochastic,Uncertainty,Gemma 4 2B,Gemma 4 4B,0.5968586387434555,0.4258289703315881,0.17102966841186734,0.11692844677137865,0.2268760907504363,True,3,191,10000,20260826
Stochastic,Uncertainty,Gemma 4 4B,Gemma 4 31B,0.4258289703315881,0.10820244328097732,0.3176265270506108,0.26352530541012215,0.36998254799301916,True,3,191,10000,20260826
Greedy,Mechanical,Gemma 4 2B,Gemma 4 31B,0.02617801047120419,0.5392670157068062,-0.5130890052356021,-0.581151832460733,-0.4450261780104712,True,1,191,10000,20260826
Greedy,Mechanical,Gemma 4 2B,Gemma 4 4B,0.02617801047120419,0.07329842931937172,-0.04712041884816753,-0.08900523560209425,-0.005235602094240836,True,1,191,10000,20260826
Greedy,Mechanical,Gemma 4 4B,Gemma 4 31B,0.07329842931937172,0.5392670157068062,-0.46596858638743455,-0.5445026178010471,-0.387434554973822,True,1,191,10000,20260826
Greedy,Testimony,Gemma 4 2B,Gemma 4 31B,0.5445026178010471,0.9895287958115183,-0.4450261780104712,-0.5183246073298429,-0.3717277486910995,True,1,191,10000,20260826
Greedy,Testimony,Gemma 4 2B,Gemma 4 4B,0.5445026178010471,0.7172774869109948,-0.17277486910994766,-0.25130890052356014,-0.09424083769633507,True,1,191,10000,20260826
Greedy,Testimony,Gemma 4 4B,Gemma 4 31B,0.7172774869109948,0.9895287958115183,-0.2722513089005235,-0.33507853403141363,-0.2094240837696335,True,1,191,10000,20260826
Greedy,SocialJudgment,Gemma 4 2B,Gemma 4 31B,0.5078534031413613,0.3036649214659686,0.20418848167539272,0.1099476439790576,0.2984293193717277,True,1,191,10000,20260826
Greedy,SocialJudgment,Gemma 4 2B,Gemma 4 4B,0.5078534031413613,0.5392670157068062,-0.03141361256544495,-0.11518324607329844,0.05235602094240843,False,1,191,10000,20260826
Greedy,SocialJudgment,Gemma 4 4B,Gemma 4 31B,0.5392670157068062,0.3036649214659686,0.23560209424083767,0.14659685863874344,0.3246073298429319,True,1,191,10000,20260826
Greedy,Behavioral,Gemma 4 2B,Gemma 4 31B,0.17801047120418848,0.612565445026178,-0.4345549738219896,-0.518324607329843,-0.3455497382198953,True,1,191,10000,20260826
Greedy,Behavioral,Gemma 4 2B,Gemma 4 4B,0.17801047120418848,0.5026178010471204,-0.32460732984293195,-0.3979057591623037,-0.2513089005235602,True,1,191,10000,20260826
Greedy,Behavioral,Gemma 4 4B,Gemma 4 31B,0.5026178010471204,0.612565445026178,-0.10994764397905765,-0.2094240837696335,-0.010471204188481686,True,1,191,10000,20260826
Greedy,ClaimComparison,Gemma 4 2B,Gemma 4 31B,0.07853403141361257,0.5968586387434555,-0.5183246073298429,-0.5916230366492147,-0.4397905759162304,True,1,191,10000,20260826
Greedy,ClaimComparison,Gemma 4 2B,Gemma 4 4B,0.07853403141361257,0.19895287958115182,-0.12041884816753926,-0.18848167539267016,-0.05235602094240838,True,1,191,10000,20260826
Greedy,ClaimComparison,Gemma 4 4B,Gemma 4 31B,0.19895287958115182,0.5968586387434555,-0.39790575916230364,-0.481675392670157,-0.3141361256544502,True,1,191,10000,20260826
Greedy,Payoff,Gemma 4 2B,Gemma 4 31B,0.900523560209424,0.2931937172774869,0.6073298429319371,0.5287958115183247,0.6806282722513088,True,1,191,10000,20260826
Greedy,Payoff,Gemma 4 2B,Gemma 4 4B,0.900523560209424,0.7172774869109948,0.18324607329842924,0.10994764397905765,0.25654450261780104,True,1,191,10000,20260826
Greedy,Payoff,Gemma 4 4B,Gemma 4 31B,0.7172774869109948,0.2931937172774869,0.4240837696335079,0.3403141361256544,0.5078534031413613,True,1,191,10000,20260826
Greedy,Uncertainty,Gemma 4 2B,Gemma 4 31B,0.6387434554973822,0.07853403141361257,0.5602094240837696,0.47643979057591623,0.6387434554973822,True,1,191,10000,20260826
Greedy,Uncertainty,Gemma 4 2B,Gemma 4 4B,0.6387434554973822,0.4031413612565445,0.23560209424083772,0.1413612565445026,0.324607329842932,True,1,191,10000,20260826
Greedy,Uncertainty,Gemma 4 4B,Gemma 4 31B,0.4031413612565445,0.07853403141361257,0.32460732984293195,0.24083769633507857,0.4083769633507853,True,1,191,10000,20260826
