model,comparison,loss_mean_diff,loss_ci_lo,loss_ci_hi,loss_excludes_zero,agreement_mean_diff,agreement_ci_lo,agreement_ci_hi
2B,"Combined vs Strategy, overall counts",-0.223734367331824,-0.2862074042749392,-0.15185580883427285,True,0.2536155202821869,0.19793727598566305,0.3140816568174723
2B,"Combined vs Strategy, overall rates",-0.2142345218860761,-0.29472864125342774,-0.13714791015036898,True,0.22962962962962957,0.1748159269427286,0.29107012895248185
2B,"Enriched vs Strategy, overall counts",-0.23512590666248162,-0.30229420887437836,-0.15962649651553,True,0.25573192239858905,0.2006836761396347,0.3179237209393308
2B,"Counts vs Rates, Combined",0.008999120108197175,-0.04284584079223658,0.05528904171549966,False,-0.0218694885361552,-0.055893270895831806,0.01947789447972642
2B,"Temporal counts vs overall counts, Combined",0.014762868712791009,-0.009571019696979289,0.03705204429273916,False,0.0028218694885361515,-0.020087719298245616,0.023246997956055178
2B,"Temporal rates vs overall rates, Combined",0.01802753341384088,-0.013699025362205224,0.055647247915083756,False,-0.013403880070546742,-0.03418898809523809,0.00850504082047704
4B,"Combined vs Strategy, overall counts",-0.2091976074036431,-0.2936795478240658,-0.12728178386362798,True,0.13192239858906524,0.07174121166791324,0.1910464344941957
4B,"Combined vs Strategy, overall rates",-0.20930088703829605,-0.30424339256084215,-0.12816412367460778,True,0.12522045855379188,0.07011904761904761,0.1837404692699777
4B,"Enriched vs Strategy, overall counts",-0.21850753609459192,-0.305934245804178,-0.13203483577467684,True,0.12874779541446207,0.06634428179545068,0.19027960526315787
4B,"Counts vs Rates, Combined",0.023194524595706235,-0.03313054018413779,0.0742848087994323,False,-0.0253968253968254,-0.06452687912441654,0.020569320521619753
4B,"Temporal counts vs overall counts, Combined",0.006821212491660544,-0.012851028246040033,0.027616538601093667,False,-0.008465608465608464,-0.024425022651766833,0.00663739003145063
4B,"Temporal rates vs overall rates, Combined",0.002014140309219364,-0.024208846928941725,0.027086813409104002,False,-0.0017636684303350967,-0.023740786240786238,0.02159735024457389
