model,role,opportunity_share,base_lift,ft_lift,delta,d_ci_low,d_ci_high,sig,in_figure
E2B,Center Card,0.004657351962741183,0.0,0.0,0.0,0.0,0.0,False,False
E2B,Doppelganger,0.004091816367265469,0.0,1.8181818181818181,1.8181818181818181,0.0,3.1578947368421053,False,False
E2B,Drunk,0.010312707917498337,0.3896103896103896,1.1538461538461537,0.7642357642357642,-0.30614642463560154,2.0,False,False
E2B,Hunter,0.03522954091816367,1.0693069306930694,0.8664259927797834,-0.20288093791328599,-0.8700153350983001,0.5169240123530074,False,False
E2B,Insomniac,0.0750499001996008,1.25,0.8152173913043479,-0.4347826086956521,-0.8257039361739501,-0.07369578271921513,True,True
E2B,Mason,0.008649367930805058,0.5555555555555555,0.7894736842105263,0.23391812865497086,-2.0,2.4,False,False
E2B,Minion,0.04880239520958084,0.7822685788787483,0.8571428571428571,0.07487427826410875,-0.37838317682702505,0.5928409185290636,False,True
E2B,Moderator,0.004491017964071856,0.0,0.0,0.0,0.0,0.0,False,False
E2B,Revealer,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,False,False
E2B,Robber,0.20113107119095142,1.2004001333777925,1.4965539875287168,0.2961538541509243,0.05275956191652941,0.5531117502776829,True,True
E2B,Seer,0.15828343313373253,0.5650684931506849,0.569777043765483,0.004708550614798135,-0.17958165541241808,0.1916142674333579,False,True
E2B,Tanner,0.15292747837658013,1.4906832298136645,1.331626120358515,-0.15905710945514961,-0.4289339647037028,0.1200587804276661,False,True
E2B,Troublemaker,0.19331337325349301,0.6376195536663124,0.6024096385542169,-0.03520991511209548,-0.24675242624100674,0.1742141665358893,False,True
E2B,Villager,0.10006653359946774,1.3441955193482686,1.289902280130293,-0.054293239217975575,-0.34313538844033564,0.2020520546556339,False,True
E4B,Center Card,0.010015408320493066,0.7741935483870968,1.021276595744681,0.24708304735758424,-0.2812689432208524,1.0000000000000002,False,False
E4B,Doppelganger,0.003980482794042116,0.0,0.594059405940594,0.594059405940594,0.0,1.643835616438356,False,False
E4B,Drunk,0.013276836158192092,0.22988505747126436,0.703125,0.47323994252873564,0.0,1.5560640732265447,False,False
E4B,Hunter,0.026245505906522856,1.8218623481781377,1.1363636363636362,-0.6854987118145015,-1.3517257604190833,0.0030244730578588533,False,False
E4B,Insomniac,0.0689522342064715,0.8715596330275229,0.7407407407407408,-0.13081889228678212,-0.410802049771352,0.16094660316409776,False,True
E4B,Mason,0.010785824345146378,0.8695652173913044,1.408450704225352,0.5388854868340476,-0.02083588792353247,1.575757575757576,False,False
E4B,Minion,0.04725218284540318,0.7333333333333333,0.6382978723404256,-0.09503546099290772,-0.4669307359895172,0.2359558080520612,False,True
E4B,Moderator,0.005007704160246533,0.0,0.0,0.0,0.0,0.0,False,False
E4B,Revealer,0.0023112480739599386,0.0,0.0,0.0,0.0,0.0,False,False
E4B,Robber,0.192552645095018,1.2149791955617195,1.171333162085795,-0.04364603347592455,-0.2564940428122087,0.1741138216409593,False,True
E4B,Seer,0.1652285567539805,0.914866581956798,0.8399269628727938,-0.07493961908400426,-0.3320245302155793,0.17586633325173262,False,True
E4B,Tanner,0.14196199280945043,1.1870100783874582,1.4531414531414533,0.26613137475399506,0.07013650638171832,0.4799096424205255,True,True
E4B,Troublemaker,0.1975860297894196,0.7081038552321007,0.7266168513269777,0.018512996094877,-0.19365525033183378,0.229874123932038,False,True
E4B,Villager,0.11484334874165383,1.2699905926622765,1.176470588235294,-0.0935200044269826,-0.4321051142436979,0.2585860071129963,False,True
31B,Center Card,0.012372013651877133,0.6153846153846154,0.49999999999999994,-0.11538461538461547,-2.0,1.1428571428571428,False,False
31B,Doppelganger,0.01143344709897611,0.9424083769633508,1.137440758293839,0.19503238133048828,-0.32470103425985797,0.9230769230769231,False,False
31B,Drunk,0.011831626848691693,1.4999999999999998,0.9375000000000001,-0.5624999999999997,-2.3418288252481476,1.3887531148169443,False,False
31B,Hunter,0.02309442548350398,1.2213740458015268,1.1455847255369929,-0.07578932026453389,-0.8099856026326615,0.6821630950166048,False,False
31B,Insomniac,0.07969283276450512,0.4385964912280702,0.4602510460251045,0.02165455479703432,-0.25272045990916525,0.3177406429753494,False,True
31B,Mason,0.020477815699658702,0.504201680672269,1.15702479338843,0.6528231127161609,0.0,1.9354838709677422,False,False
31B,Minion,0.0492320819112628,0.9101516919486581,1.2356979405034323,0.3255462485547742,-0.08844640391195412,0.7583644497853069,False,True
31B,Moderator,0.001279863481228669,0.0,0.0,0.0,0.0,0.0,False,False
31B,Revealer,0.002559726962457338,0.0,0.0,0.0,0.0,0.0,False,False
31B,Robber,0.19820819112627985,1.2175324675324677,1.1549037580201649,-0.06262870951230282,-0.2937658935450512,0.17247113465343267,False,True
31B,Seer,0.15378270762229806,0.6749156355455568,0.7226277372262774,0.0477121016807206,-0.17507450587347442,0.2680803031757585,False,True
31B,Tanner,0.14439704209328783,1.4577709217123025,1.4492753623188408,-0.008495559393461694,-0.29062669233779737,0.2812204276949093,False,True
31B,Troublemaker,0.18833902161547214,0.7958999095568285,0.7261724659606656,-0.0697274435961629,-0.29124132993132373,0.13878505118188822,False,True
31B,Villager,0.10329920364050056,1.310759148006554,1.365907828983898,0.055148680977344045,-0.16000890801436676,0.2702791725383085,False,True
