model,feature,odds_ratio,ci_lo,ci_hi,z,p,p_bonferroni
human_village,pt_accusation,1.0839689859526944,0.858596444043538,1.3684994512366404,0.6780060263328253,0.4977678722500789,1.0
human_village,pt_defense,1.081745696463702,0.8344363817805842,1.4023522671922972,0.5933131488236527,0.5529716006916333,1.0
human_village,pt_interrogation,0.9401354615151652,0.7656978172433523,1.1543126623768711,-0.5895317519329654,0.555504618728436,1.0
human_village,pt_identity_declaration,0.9629495443779786,0.7837351691148274,1.1831443344121504,-0.3593376867991654,0.7193424844391356,1.0
human_village,pt_evidence,0.777244266037868,0.6557099150482495,0.9213047343416969,-2.904800502179302,0.0036748724963015923,0.044098469955619106
human_village,pt_call_for_action,1.2619065441592037,1.038749283380039,1.5330052705405548,2.3428963805358753,0.019134696489678776,0.22961635787614532
human_village,n_utterances,0.8901974024193503,0.597147354008948,1.3270617544464312,-0.5709576758414783,0.5680283331201463,1.0
human_village,werewolf_count,1.7144069151764607,1.4221711713524512,2.06669290589667,5.653668503901998,1.570589879085635e-08,1.884707854902762e-07
human_village,deception_count,1.0347581450517114,0.8929251935727736,1.1991199559132997,0.45427112307917866,0.6496336975802958,1.0
human_village,claims_werewolf,1.077829181439347,0.9098827354528947,1.2767752360791504,0.8672371381428343,0.385812091602763,1.0
human_village,claims_info_role,0.7828970949159618,0.6663542050778396,0.9198229058316721,-2.976288525339727,0.002917602265898114,0.035011227190777365
human_village,n_distinct_roles_claimed_self,1.2062389509905633,0.9388470967494509,1.5497863410607238,1.466479150191057,0.14251779726129096,1.0
