model,decoding_group,n_runs,justifications_per_run,mean_words,std_mean_words,median_words,std_median_words,mean_sentences,std_mean_sentences,median_sentences,std_median_sentences,mean_words_per_sentence,std_mean_words_per_sentence,median_words_per_sentence,mean_total_marker_occurrences_per_run,std_total_marker_occurrences_per_run,mean_markers_per_justification,std_markers_per_justification,mean_markers_per_100_words,std_markers_per_100_words,mean_justifications_with_marker_per_run,std_justifications_with_marker_per_run,mean_pct_justifications_with_marker,std_pct_justifications_with_marker
Gemma 4 4B,Stochastic,3,191.0,81.94066317626528,0.2494660471145431,82.33333333333333,0.5773502691896278,3.891797556719023,0.06670685812780609,4.0,0.0,21.30730906673315,0.3253049774170902,21.0,1329.0,17.349351572897472,6.958115183246073,0.09083430142878246,8.49152597439005,0.09165193373764176,191.0,0.0,100.0,0.0
Gemma 4 4B,Greedy,1,191.0,81.3979057591623,,82.0,,3.968586387434555,,4.0,,20.70951134380454,,21.0,1299.0,,6.801047120418848,,8.355309706052614,,191.0,,100.0,
