model,label_source,family,method,scaling,top1_mean,top1_std
31B,stochastic,D_deductive,lasso,raw,0.291,0.072
31B,stochastic,D_deductive,l1_select,raw,0.291,0.072
31B,stochastic,A_pt,logreg,within_game,0.226,0.028
31B,stochastic,A_pt,gbm,within_game,0.205,0.045
31B,stochastic,A_pt,lasso,within_game,0.228,0.028
31B,stochastic,A_pt,l1_select,within_game,0.226,0.028
31B,stochastic,B_directed,logreg,within_game,0.412,0.058
31B,stochastic,B_directed,gbm,within_game,0.404,0.049
31B,stochastic,B_directed,lasso,within_game,0.412,0.058
31B,stochastic,B_directed,l1_select,within_game,0.412,0.058
31B,stochastic,C_combined,logreg,within_game,0.41,0.053
31B,stochastic,C_combined,gbm,within_game,0.406,0.043
31B,stochastic,C_combined,lasso,within_game,0.412,0.051
31B,stochastic,C_combined,l1_select,within_game,0.41,0.053
31B,stochastic,S_social,logreg,within_game,0.408,0.056
31B,stochastic,S_social,gbm,within_game,0.372,0.043
31B,stochastic,S_social,lasso,within_game,0.407,0.057
31B,stochastic,S_social,l1_select,within_game,0.408,0.056
31B,stochastic,D_deductive,logreg,within_game,0.298,0.06
31B,stochastic,D_deductive,gbm,within_game,0.26,0.063
31B,stochastic,D_deductive,lasso,within_game,0.296,0.06
31B,stochastic,D_deductive,l1_select,within_game,0.298,0.06
31B,greedy,A_pt,logreg,raw,0.26,0.079
31B,greedy,A_pt,gbm,raw,0.231,0.073
31B,greedy,A_pt,lasso,raw,0.263,0.088
31B,greedy,A_pt,l1_select,raw,0.255,0.084
31B,greedy,B_directed,logreg,raw,0.352,0.064
31B,greedy,B_directed,gbm,raw,0.356,0.057
31B,greedy,B_directed,lasso,raw,0.354,0.062
31B,greedy,B_directed,l1_select,raw,0.352,0.066
31B,greedy,C_combined,logreg,raw,0.363,0.072
31B,greedy,C_combined,gbm,raw,0.338,0.076
31B,greedy,C_combined,lasso,raw,0.365,0.075
31B,greedy,C_combined,l1_select,raw,0.363,0.073
31B,greedy,S_social,logreg,raw,0.345,0.071
31B,greedy,S_social,gbm,raw,0.332,0.076
31B,greedy,S_social,lasso,raw,0.342,0.073
31B,greedy,S_social,l1_select,raw,0.349,0.068
31B,greedy,D_deductive,logreg,raw,0.256,0.066
31B,greedy,D_deductive,gbm,raw,0.227,0.053
31B,greedy,D_deductive,lasso,raw,0.237,0.076
31B,greedy,D_deductive,l1_select,raw,0.256,0.066
31B,greedy,A_pt,logreg,within_game,0.225,0.081
31B,greedy,A_pt,gbm,within_game,0.178,0.051
31B,greedy,A_pt,lasso,within_game,0.244,0.075
31B,greedy,A_pt,l1_select,within_game,0.227,0.081
31B,greedy,B_directed,logreg,within_game,0.37,0.066
31B,greedy,B_directed,gbm,within_game,0.354,0.06
31B,greedy,B_directed,lasso,within_game,0.365,0.064
31B,greedy,B_directed,l1_select,within_game,0.368,0.065
31B,greedy,C_combined,logreg,within_game,0.364,0.077
31B,greedy,C_combined,gbm,within_game,0.319,0.043
31B,greedy,C_combined,lasso,within_game,0.37,0.073
31B,greedy,C_combined,l1_select,within_game,0.364,0.077
31B,greedy,S_social,logreg,within_game,0.366,0.074
31B,greedy,S_social,gbm,within_game,0.324,0.042
31B,greedy,S_social,lasso,within_game,0.372,0.082
31B,greedy,S_social,l1_select,within_game,0.366,0.074
31B,greedy,D_deductive,logreg,within_game,0.251,0.061
31B,greedy,D_deductive,gbm,within_game,0.204,0.044
31B,greedy,D_deductive,lasso,within_game,0.237,0.081
31B,greedy,D_deductive,l1_select,within_game,0.251,0.061
4B,stochastic,A_pt,logreg,raw,0.287,0.08
4B,stochastic,A_pt,gbm,raw,0.243,0.062
4B,stochastic,A_pt,lasso,raw,0.283,0.08
4B,stochastic,A_pt,l1_select,raw,0.287,0.08
4B,stochastic,B_directed,logreg,raw,0.46,0.041
4B,stochastic,B_directed,gbm,raw,0.467,0.031
4B,stochastic,B_directed,lasso,raw,0.463,0.043
4B,stochastic,B_directed,l1_select,raw,0.46,0.042
4B,stochastic,C_combined,logreg,raw,0.454,0.045
4B,stochastic,C_combined,gbm,raw,0.462,0.044
4B,stochastic,C_combined,lasso,raw,0.454,0.044
4B,stochastic,C_combined,l1_select,raw,0.454,0.045
4B,stochastic,S_social,logreg,raw,0.372,0.066
4B,stochastic,S_social,gbm,raw,0.345,0.059
4B,stochastic,S_social,lasso,raw,0.374,0.064
4B,stochastic,S_social,l1_select,raw,0.372,0.066
4B,stochastic,D_deductive,logreg,raw,0.355,0.057
4B,stochastic,D_deductive,gbm,raw,0.373,0.055
4B,stochastic,D_deductive,lasso,raw,0.352,0.053
4B,stochastic,D_deductive,l1_select,raw,0.356,0.057
4B,stochastic,A_pt,logreg,within_game,0.271,0.05
4B,stochastic,A_pt,gbm,within_game,0.243,0.063
4B,stochastic,A_pt,lasso,within_game,0.272,0.05
4B,stochastic,A_pt,l1_select,within_game,0.271,0.05
4B,stochastic,B_directed,logreg,within_game,0.495,0.048
4B,stochastic,B_directed,gbm,within_game,0.51,0.056
4B,stochastic,B_directed,lasso,within_game,0.496,0.05
4B,stochastic,B_directed,l1_select,within_game,0.496,0.05
4B,stochastic,C_combined,logreg,within_game,0.489,0.051
4B,stochastic,C_combined,gbm,within_game,0.488,0.05
4B,stochastic,C_combined,lasso,within_game,0.492,0.052
4B,stochastic,C_combined,l1_select,within_game,0.489,0.051
4B,stochastic,S_social,logreg,within_game,0.392,0.052
4B,stochastic,S_social,gbm,within_game,0.368,0.067
4B,stochastic,S_social,lasso,within_game,0.389,0.052
4B,stochastic,S_social,l1_select,within_game,0.392,0.052
4B,stochastic,D_deductive,logreg,within_game,0.359,0.058
4B,stochastic,D_deductive,gbm,within_game,0.372,0.059
4B,stochastic,D_deductive,lasso,within_game,0.361,0.061
4B,stochastic,D_deductive,l1_select,within_game,0.359,0.058
4B,greedy,A_pt,logreg,raw,0.359,0.077
4B,greedy,A_pt,gbm,raw,0.305,0.055
4B,greedy,A_pt,lasso,raw,0.358,0.074
4B,greedy,A_pt,l1_select,raw,0.358,0.078
4B,greedy,B_directed,logreg,raw,0.466,0.059
4B,greedy,B_directed,gbm,raw,0.482,0.063
4B,greedy,B_directed,lasso,raw,0.468,0.06
4B,greedy,B_directed,l1_select,raw,0.468,0.059
4B,greedy,C_combined,logreg,raw,0.496,0.067
4B,greedy,C_combined,gbm,raw,0.455,0.07
4B,greedy,C_combined,lasso,raw,0.501,0.06
4B,greedy,C_combined,l1_select,raw,0.496,0.067
4B,greedy,S_social,logreg,raw,0.403,0.079
4B,greedy,S_social,gbm,raw,0.391,0.082
4B,greedy,S_social,lasso,raw,0.405,0.074
4B,greedy,S_social,l1_select,raw,0.405,0.079
4B,greedy,D_deductive,logreg,raw,0.372,0.071
4B,greedy,D_deductive,gbm,raw,0.341,0.071
4B,greedy,D_deductive,lasso,raw,0.379,0.07
4B,greedy,D_deductive,l1_select,raw,0.375,0.07
4B,greedy,A_pt,logreg,within_game,0.333,0.068
4B,greedy,A_pt,gbm,within_game,0.297,0.066
4B,greedy,A_pt,lasso,within_game,0.335,0.071
4B,greedy,A_pt,l1_select,within_game,0.335,0.068
4B,greedy,B_directed,logreg,within_game,0.513,0.069
4B,greedy,B_directed,gbm,within_game,0.492,0.05
4B,greedy,B_directed,lasso,within_game,0.52,0.068
4B,greedy,B_directed,l1_select,within_game,0.517,0.069
4B,greedy,C_combined,logreg,within_game,0.504,0.08
4B,greedy,C_combined,gbm,within_game,0.506,0.072
4B,greedy,C_combined,lasso,within_game,0.506,0.078
4B,greedy,C_combined,l1_select,within_game,0.506,0.078
4B,greedy,S_social,logreg,within_game,0.431,0.079
4B,greedy,S_social,gbm,within_game,0.394,0.052
4B,greedy,S_social,lasso,within_game,0.427,0.077
4B,greedy,S_social,l1_select,within_game,0.431,0.079
4B,greedy,D_deductive,logreg,within_game,0.368,0.055
4B,greedy,D_deductive,gbm,within_game,0.382,0.085
4B,greedy,D_deductive,lasso,within_game,0.37,0.058
4B,greedy,D_deductive,l1_select,within_game,0.366,0.058
