model,label_source,n_games,n_instances,share_circle_instances,dropped_instances,random_uniform,most_talkative,most_accused_ww,most_accused_else_circle,crowd_modal,crowd_modal_n_games
2B,stochastic,191,568,0.231,0,0.18449264522562953,0.1456893542757417,0.3650261780104712,0.3992321116928446,0.3828007889546352,169
2B,greedy,191,191,0.251,0,0.18449264522562953,0.12921465968586388,0.3539267015706807,0.3947643979057591,0.3623668639053254,169
31B,stochastic,191,573,0.12,0,0.18449264522562953,0.1870157068062827,0.4010471204188481,0.40760907504363,0.45570019723865873,169
31B,greedy,191,191,0.126,0,0.18449264522562953,0.2014659685863874,0.38010471204188484,0.3872251308900524,0.44071005917159767,169
4B,stochastic,191,573,0.059,0,0.18449264522562953,0.21445026178010468,0.40265270506108203,0.40286212914485164,0.4294280078895463,169
4B,greedy,191,191,0.094,0,0.18449264522562953,0.1838743455497382,0.4299476439790576,0.437696335078534,0.42934911242603563,169
