model,feature,odds_ratio,ci_lo,ci_hi,z,p,p_bonferroni
2B,pt_accusation,1.3586523393013468,1.0841454465531877,1.7026646977652193,2.661602156433658,0.007776973796302463,0.10110065935193202
2B,pt_defense,1.4588933247511615,1.1624474807178855,1.830938402214175,3.2588493901163424,0.0011186503716110851,0.014542454830944107
2B,pt_interrogation,1.1214341469853586,0.8960885295793378,1.4034489947272921,1.0013728100760755,0.316646604185144,1.0
2B,pt_identity_declaration,0.8838338734191169,0.6864267808127551,1.1380125858115762,-0.9575238338325146,0.33830292245415094,1.0
2B,pt_evidence,0.9393148290877653,0.7586716056510096,1.1629700407557406,-0.5745107074935348,0.565622256909531,1.0
2B,pt_call_for_action,0.97708575516325,0.8006478830049845,1.1924050424760757,-0.22813837071258436,0.8195386710083604,1.0
2B,n_utterances,0.48198578540884635,0.3155390265092421,0.7362331687024398,-3.3767204514966993,0.0007335556225433843,0.009536223093063997
2B,werewolf_count,2.1737890165262654,1.7563664030599782,2.690417375405046,7.137471807714202,9.506311063228937e-13,1.2358204382197618e-11
2B,deception_count,1.0548105088595645,0.9105746341735185,1.2218934811537396,0.711285631424283,0.47690725366017594,1.0
2B,claims_werewolf,1.7875239087183143,1.5035073260229386,2.125191988715891,6.579346868632878,4.7251926991693813e-11,6.142750508920195e-10
2B,claims_info_role,0.9194978924817746,0.7377027733858805,1.146093528153472,-0.7467446380614486,0.45521771935453603,1.0
2B,n_distinct_roles_claimed_self,0.9818898328630662,0.7038214929749111,1.3698184177422201,-0.10758616010030574,0.9143239759026884,1.0
2B,is_circle_option,1.3178857982081416,1.1086327830669573,1.5666350514314646,3.1290485225970417,0.001753733455099553,0.02279853491629419
31B,pt_accusation,1.256160486920973,0.9916743170067414,1.5911868865015786,1.8906885076798647,0.058665937455723335,0.7626571869244033
31B,pt_defense,1.2838586131762344,1.0070315814905475,1.6367837602343116,2.0165490222639204,0.04374259748761141,0.5686537673389483
31B,pt_interrogation,0.9623473784096668,0.7508447397476739,1.2334274021060392,-0.3031083383737389,0.7618072997938052,1.0
31B,pt_identity_declaration,0.8547374899479774,0.6696127295849099,1.091042843787408,-1.2603433518825806,0.20754552747695798,1.0
31B,pt_evidence,0.8958274972285017,0.7187223663129672,1.1165742745804994,-0.9788525746193183,0.32765282804449203,1.0
31B,pt_call_for_action,1.1585892246721488,0.930541443494189,1.44252467303977,1.316281488847405,0.1880795815560703,1.0
31B,n_utterances,0.6629863966409039,0.4315870849630278,1.018452538190628,-1.8765185740376946,0.06058410664663522,0.7875933864062579
31B,werewolf_count,2.061219643492776,1.6823648619477765,2.5253894174903246,6.98021621313168,2.9472612804817655e-12,3.831439664626295e-11
31B,deception_count,1.3441679465834853,1.1137555789568498,1.6222477379774034,3.082999006731023,0.002049258389392931,0.026640359062108106
31B,claims_werewolf,1.3652580188553964,1.1566739843778386,1.6114561952835378,3.680652951186091,0.00023263746210255628,0.0030242870073332317
31B,claims_info_role,0.7889625827462176,0.6324198105640632,0.9842543617006566,-2.100650343412839,0.03567167129373759,0.4637317268185887
31B,n_distinct_roles_claimed_self,1.2276708286684284,0.909675040075354,1.6568286444778972,1.341063122267343,0.17989995927005553,1.0
31B,is_circle_option,1.0379256746827281,0.8449204232905679,1.275019133719196,0.354624524905191,0.7228709005718077,1.0
4B,pt_accusation,1.0457090852432631,0.8156174700623325,1.3407112170816204,0.3525184363208007,0.724449494552759,1.0
4B,pt_defense,1.1960484034708625,0.9248908050608412,1.5467034331161889,1.3647670578567945,0.17232627563025482,1.0
4B,pt_interrogation,0.9501619430511249,0.7723712599421565,1.168877928070888,-0.48367126652304704,0.6286191883289556,1.0
4B,pt_identity_declaration,1.0070742639453614,0.7619879956379177,1.3309902241334248,0.04954478093370101,0.960485150972216,1.0
4B,pt_evidence,0.9317522433123083,0.7382697219906827,1.1759418232358114,-0.5952504514083622,0.5516760709187577,1.0
4B,pt_call_for_action,0.9964750575529953,0.8068959731330618,1.2305954836652777,-0.03279682394018136,0.973836610980417,1.0
4B,n_utterances,0.9796717246730857,0.6540382498937043,1.467432047406891,-0.09962578179071002,0.9206414247409513,1.0
4B,werewolf_count,1.6397625802221412,1.3316656358431704,2.019141477503317,4.65748826862291,3.200906576270019e-06,4.161178549151025e-05
4B,deception_count,1.2136619896314957,1.0175041665217552,1.447635767538439,2.1529290074895218,0.03132425834873751,0.40721535853358765
4B,claims_werewolf,1.9238168617889262,1.632744493721559,2.266779237005687,7.817488990742487,5.388744046595742e-15,7.005367260574464e-14
4B,claims_info_role,0.9375664008311616,0.7723970729711059,1.138055524454818,-0.6520328836503503,0.514379959242776,1.0
4B,n_distinct_roles_claimed_self,0.9001434966102868,0.663978316494756,1.2203083961646097,-0.6775910233033025,0.49803103931112336,1.0
4B,is_circle_option,0.8085577768345326,0.6399800528873518,1.0215407113550716,-1.7813481804138684,0.07485558808060346,0.973122645047845
