representation,pair,metric,delta,ci_lo,ci_hi,excludes_zero,mean_E2B,mean_E4B,mean_31B
count_overall,E4B - E2B,loss,-0.09665476422205616,-0.22843065779852006,0.02419586454629103,False,1.4307744772453115,1.3341197130232554,
count_overall,E4B - E2B,gain,0.03661669415013525,-0.06750886952858352,0.15098531732784506,False,0.27101390371479434,0.30763059786492963,
count_overall,E4B - E2B,agreement,0.04956369982547995,-0.027423268398268395,0.12597949329697794,False,0.4471204188481675,0.4966841186736474,
count_overall,31B - E2B,loss,0.06334616113306901,-0.04728251076020747,0.17205428915729803,False,1.4307744772453115,,1.4941206383783807
count_overall,31B - E2B,gain,-0.0726614082176072,-0.16579025475508044,0.024925006704099462,False,0.27101390371479434,,0.19835249549718711
count_overall,31B - E2B,agreement,-0.05026178010471203,-0.13857938272346731,0.03192353495070344,False,0.4471204188481675,,0.39685863874345556
count_overall,31B - E4B,loss,0.16000092535512514,0.0567945549246706,0.2685239917532766,True,,1.3341197130232554,1.4941206383783807
count_overall,31B - E4B,gain,-0.10927810236774245,-0.2115442527201216,-0.008371322550892653,True,,0.30763059786492963,0.19835249549718711
count_overall,31B - E4B,agreement,-0.09982547993019199,-0.17344823095724649,-0.03157651072124757,True,,0.4966841186736474,0.39685863874345556
rate_overall,E4B - E2B,loss,-0.16001661231410746,-0.29688235921551553,-0.027693893084540226,True,1.481244535163182,1.321227922849074,
rate_overall,E4B - E2B,gain,0.09997854224218658,-0.008230248104019922,0.2230697999440655,False,0.22054384579692435,0.32052238803911104,
rate_overall,E4B - E2B,agreement,0.07225130890052356,0.005973118279569898,0.1378055638685221,True,0.4331588132635253,0.5054101221640489,
rate_overall,31B - E2B,loss,0.0856771618731436,-0.027271690712259575,0.18857943556792256,False,1.481244535163182,,1.5669216970363251
rate_overall,31B - E2B,gain,-0.09499240895768177,-0.1908105763692121,0.007588635266235793,False,0.22054384579692435,,0.12555143683924258
rate_overall,31B - E2B,agreement,-0.037347294938917974,-0.11389082867783983,0.02666993464052286,False,0.4331588132635253,,0.3958115183246073
rate_overall,31B - E4B,loss,0.24569377418725105,0.12881248595315495,0.3748092908474836,True,,1.321227922849074,1.5669216970363251
rate_overall,31B - E4B,gain,-0.19497095119986832,-0.3175567074942069,-0.08514955427548407,True,,0.32052238803911104,0.12555143683924258
rate_overall,31B - E4B,agreement,-0.10959860383944153,-0.18397475930262816,-0.04701476591401965,True,,0.5054101221640489,0.3958115183246073
