model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,mean_support,total_support,low_support_diagnostic
Gemma 4 31B,Stochastic,Payoff,Any explicit,3,1.0251680461183101,0.018991183517758883,1.0057625434674615,1.0437158469945356,0.2705061082024433,51.666666666666664,155,False
Gemma 4 31B,Stochastic,Uncertainty,Comparison,3,1.4433906943727983,0.0695438617465771,1.3721264367816093,1.5110759493670887,0.06980802792321117,13.333333333333334,40,True
Gemma 4 31B,Stochastic,Uncertainty,Contingency,3,0.7275408104342608,0.18703118002654037,0.5329241071428572,0.9059288537549406,0.04712041884816753,9.0,27,True
Gemma 4 31B,Stochastic,Uncertainty,Expansion,3,1.1065279670941999,0.08691089553826722,1.0114739629302736,1.1819306930693072,0.06457242582897033,12.333333333333334,37,True
Gemma 4 31B,Stochastic,Uncertainty,Temporal,3,0.6188547772850098,0.08466479204217271,0.5377252252252253,0.7066596194503171,0.027923211169284468,5.333333333333333,16,True
Gemma 4 31B,Stochastic,Uncertainty,Any explicit,3,0.9758479604791082,0.02579872110818781,0.9488325881768506,1.0002276867030966,0.10122164048865619,19.333333333333332,58,True
Gemma 4 31B,Greedy,Mechanical,Comparison,1,0.9713361072584374,,0.9713361072584374,0.9713361072584374,0.23036649214659685,44.0,44,False
Gemma 4 31B,Greedy,Mechanical,Contingency,1,1.2424271844660193,,1.2424271844660193,1.2424271844660193,0.3507853403141361,67.0,67,False
Gemma 4 31B,Greedy,Mechanical,Expansion,1,1.0508090614886731,,1.0508090614886731,1.0508090614886731,0.35602094240837695,68.0,68,False
Gemma 4 31B,Greedy,Mechanical,Temporal,1,0.9386311878221265,,0.9386311878221265,0.9386311878221265,0.21465968586387435,41.0,41,False
Gemma 4 31B,Greedy,Mechanical,Any explicit,1,0.9835326932360673,,0.9835326932360673,0.9835326932360673,0.5026178010471204,96.0,96,False
Gemma 4 31B,Greedy,Testimony,Comparison,1,0.9985512723607961,,0.9985512723607961,0.9985512723607961,0.43455497382198954,83.0,83,False
Gemma 4 31B,Greedy,Testimony,Contingency,1,1.0105820105820107,,1.0105820105820107,1.0105820105820107,0.5235602094240838,100.0,100,False
Gemma 4 31B,Greedy,Testimony,Expansion,1,1.0021604938271607,,1.0021604938271607,1.0021604938271607,0.6230366492146597,119.0,119,False
Gemma 4 31B,Greedy,Testimony,Temporal,1,1.0105820105820105,,1.0105820105820105,1.0105820105820105,0.42408376963350786,81.0,81,False
Gemma 4 31B,Greedy,Testimony,Any explicit,1,1.0049986845566956,,1.0049986845566956,1.0049986845566956,0.9424083769633508,180.0,180,False
Gemma 4 31B,Greedy,SocialJudgment,Comparison,1,1.3329228243021345,,1.3329228243021345,1.3329228243021345,0.17801047120418848,34.0,34,False
Gemma 4 31B,Greedy,SocialJudgment,Contingency,1,0.6586206896551724,,0.6586206896551724,0.6586206896551724,0.10471204188481675,20.0,20,False
Gemma 4 31B,Greedy,SocialJudgment,Expansion,1,0.9879310344827587,,0.9879310344827587,0.9879310344827587,0.18848167539267016,36.0,36,False
Gemma 4 31B,Greedy,SocialJudgment,Temporal,1,0.9350787569178375,,0.9350787569178375,0.9350787569178375,0.12041884816753927,23.0,23,False
Gemma 4 31B,Greedy,SocialJudgment,Any explicit,1,1.0188607353781671,,1.0188607353781671,1.0188607353781671,0.2931937172774869,56.0,56,False
Gemma 4 31B,Greedy,Behavioral,Comparison,1,1.1077533577533576,,1.1077533577533576,1.1077533577533576,0.29842931937172773,57.0,57,False
Gemma 4 31B,Greedy,Behavioral,Contingency,1,0.9468376068376068,,0.9468376068376068,0.9468376068376068,0.3036649214659686,58.0,58,False
Gemma 4 31B,Greedy,Behavioral,Expansion,1,1.0066951566951567,,1.0066951566951567,1.0066951566951567,0.387434554973822,74.0,74,False
Gemma 4 31B,Greedy,Behavioral,Temporal,1,1.148781259892371,,1.148781259892371,1.148781259892371,0.29842931937172773,57.0,57,False
Gemma 4 31B,Greedy,Behavioral,Any explicit,1,1.0372101808565897,,1.0372101808565897,1.0372101808565897,0.6020942408376964,115.0,115,False
Gemma 4 31B,Greedy,ClaimComparison,Comparison,1,1.0770676691729324,,1.0770676691729324,1.0770676691729324,0.28272251308900526,54.0,54,False
Gemma 4 31B,Greedy,ClaimComparison,Contingency,1,0.9047368421052633,,0.9047368421052633,0.9047368421052633,0.28272251308900526,54.0,54,False
Gemma 4 31B,Greedy,ClaimComparison,Expansion,1,1.0471491228070176,,1.0471491228070176,1.0471491228070176,0.39267015706806285,75.0,75,False
Gemma 4 31B,Greedy,ClaimComparison,Temporal,1,1.1376434914446611,,1.1376434914446611,1.1376434914446611,0.2879581151832461,55.0,55,False
Gemma 4 31B,Greedy,ClaimComparison,Any explicit,1,1.0274789182902007,,1.0274789182902007,1.0274789182902007,0.581151832460733,111.0,111,False
Gemma 4 31B,Greedy,Payoff,Comparison,1,0.9338860544217688,,0.9338860544217688,0.9338860544217688,0.12041884816753927,23.0,23,False
Gemma 4 31B,Greedy,Payoff,Contingency,1,1.3301785714285714,,1.3301785714285714,1.3301785714285714,0.20418848167539266,39.0,39,False
Gemma 4 31B,Greedy,Payoff,Expansion,1,1.1084821428571427,,1.1084821428571427,1.1084821428571427,0.20418848167539266,39.0,39,False
Gemma 4 31B,Greedy,Payoff,Temporal,1,0.8000440917107583,,0.8000440917107583,0.8000440917107583,0.09947643979057591,19.0,19,False
Gemma 4 31B,Greedy,Payoff,Any explicit,1,0.9987174427782165,,0.9987174427782165,0.9987174427782165,0.2774869109947644,53.0,53,False
Gemma 4 31B,Greedy,Uncertainty,Comparison,1,1.5158730158730158,,1.5158730158730158,1.5158730158730158,0.05235602094240838,10.0,10,True
Gemma 4 31B,Greedy,Uncertainty,Contingency,1,0.8913333333333332,,0.8913333333333332,0.8913333333333332,0.03664921465968586,7.0,7,True
Gemma 4 31B,Greedy,Uncertainty,Expansion,1,1.0611111111111111,,1.0611111111111111,1.0611111111111111,0.05235602094240838,10.0,10,True
Gemma 4 31B,Greedy,Uncertainty,Temporal,1,1.25761316872428,,1.25761316872428,1.25761316872428,0.041884816753926704,8.0,8,True
Gemma 4 31B,Greedy,Uncertainty,Any explicit,1,1.0552486187845305,,1.0552486187845305,1.0552486187845305,0.07853403141361257,15.0,15,True
