model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,total_support,low_support_diagnostic
Gemma 4 31B,Greedy,SocialJudgment,Temporal.Asynchronous,1,0.9685598377281948,,0.9685598377281948,0.9685598377281948,0.10471204188481675,20,False
Gemma 4 31B,Greedy,SocialJudgment,Temporal.Synchrony,1,0.9147509578544061,,0.9147509578544061,0.9147509578544061,0.02617801047120419,5,False
Gemma 4 31B,Greedy,Behavioral,Comparison.Contrast,1,1.1148634563268707,,1.1148634563268707,1.1148634563268707,0.2931937172774869,56,False
Gemma 4 31B,Greedy,Behavioral,Comparison.Concession,1,0.8162393162393162,,0.8162393162393162,0.8162393162393162,0.005235602094240838,1,False
Gemma 4 31B,Greedy,Behavioral,Contingency.Cause,1,1.0388500388500388,,1.0388500388500388,1.0388500388500388,0.25654450261780104,49,False
Gemma 4 31B,Greedy,Behavioral,Contingency.Condition,1,0.8815384615384616,,0.8815384615384616,0.8815384615384616,0.14136125654450263,27,False
Gemma 4 31B,Greedy,Behavioral,Expansion.Conjunction,1,0.9936826458565587,,0.9936826458565587,0.9936826458565587,0.36649214659685864,70,False
Gemma 4 31B,Greedy,Behavioral,Expansion.Alternative,1,1.2243589743589742,,1.2243589743589742,1.2243589743589742,0.031413612565445025,6,False
Gemma 4 31B,Greedy,Behavioral,Expansion.Restatement,1,,,,,0.0,0,False
Gemma 4 31B,Greedy,Behavioral,Temporal.Asynchronous,1,1.104323780794369,,1.104323780794369,1.104323780794369,0.24083769633507854,46,False
Gemma 4 31B,Greedy,Behavioral,Temporal.Synchrony,1,1.4510921177587843,,1.4510921177587843,1.4510921177587843,0.08376963350785341,16,False
Gemma 4 31B,Greedy,ClaimComparison,Comparison.Contrast,1,1.0624732563115107,,1.0624732563115107,1.0624732563115107,0.27225130890052357,52,False
Gemma 4 31B,Greedy,ClaimComparison,Comparison.Concession,1,1.6754385964912282,,1.6754385964912282,1.6754385964912282,0.010471204188481676,2,False
Gemma 4 31B,Greedy,ClaimComparison,Contingency.Cause,1,0.9356345408976988,,0.9356345408976988,0.9356345408976988,0.225130890052356,43,False
Gemma 4 31B,Greedy,ClaimComparison,Contingency.Condition,1,0.8712280701754387,,0.8712280701754387,0.8712280701754387,0.13612565445026178,26,False
Gemma 4 31B,Greedy,ClaimComparison,Expansion.Conjunction,1,1.0781083142639207,,1.0781083142639207,1.0781083142639207,0.387434554973822,74,False
Gemma 4 31B,Greedy,ClaimComparison,Expansion.Alternative,1,0.41885964912280704,,0.41885964912280704,0.41885964912280704,0.010471204188481676,2,False
Gemma 4 31B,Greedy,ClaimComparison,Expansion.Restatement,1,,,,,0.0,0,False
Gemma 4 31B,Greedy,ClaimComparison,Temporal.Asynchronous,1,1.2073013415892673,,1.2073013415892673,1.2073013415892673,0.25654450261780104,49,False
Gemma 4 31B,Greedy,ClaimComparison,Temporal.Synchrony,1,0.8377192982456141,,0.8377192982456141,0.8377192982456141,0.04712041884816754,9,False
Gemma 4 31B,Greedy,Payoff,Comparison.Contrast,1,0.9566637630662023,,0.9566637630662023,0.9566637630662023,0.12041884816753927,23,False
Gemma 4 31B,Greedy,Payoff,Comparison.Concession,1,0.0,,0.0,0.0,0.0,0,False
Gemma 4 31B,Greedy,Payoff,Contingency.Cause,1,1.4174397031539892,,1.4174397031539892,1.4174397031539892,0.16753926701570682,32,False
Gemma 4 31B,Greedy,Payoff,Contingency.Condition,1,1.4325,,1.4325,1.4325,0.1099476439790576,21,False
Gemma 4 31B,Greedy,Payoff,Expansion.Conjunction,1,1.1566770186335404,,1.1566770186335404,1.1566770186335404,0.20418848167539266,39,False
Gemma 4 31B,Greedy,Payoff,Expansion.Alternative,1,0.42633928571428575,,0.42633928571428575,0.42633928571428575,0.005235602094240838,1,False
Gemma 4 31B,Greedy,Payoff,Expansion.Restatement,1,,,,,0.0,0,False
Gemma 4 31B,Greedy,Payoff,Temporal.Asynchronous,1,0.7523634453781514,,0.7523634453781514,0.7523634453781514,0.07853403141361257,15,False
Gemma 4 31B,Greedy,Payoff,Temporal.Synchrony,1,0.757936507936508,,0.757936507936508,0.757936507936508,0.020942408376963352,4,False
Gemma 4 31B,Greedy,Uncertainty,Comparison.Contrast,1,1.5528455284552845,,1.5528455284552845,1.5528455284552845,0.05235602094240838,10,True
Gemma 4 31B,Greedy,Uncertainty,Comparison.Concession,1,0.0,,0.0,0.0,0.0,0,True
Gemma 4 31B,Greedy,Uncertainty,Contingency.Cause,1,0.9922077922077921,,0.9922077922077921,0.9922077922077921,0.031413612565445025,6,True
Gemma 4 31B,Greedy,Uncertainty,Contingency.Condition,1,0.25466666666666665,,0.25466666666666665,0.25466666666666665,0.005235602094240838,1,True
Gemma 4 31B,Greedy,Uncertainty,Expansion.Conjunction,1,1.107246376811594,,1.107246376811594,1.107246376811594,0.05235602094240838,10,True
Gemma 4 31B,Greedy,Uncertainty,Expansion.Alternative,1,0.0,,0.0,0.0,0.0,0,True
Gemma 4 31B,Greedy,Uncertainty,Expansion.Restatement,1,,,,,0.0,0,True
Gemma 4 31B,Greedy,Uncertainty,Temporal.Asynchronous,1,1.1235294117647059,,1.1235294117647059,1.1235294117647059,0.031413612565445025,6,True
Gemma 4 31B,Greedy,Uncertainty,Temporal.Synchrony,1,1.4148148148148147,,1.4148148148148147,1.4148148148148147,0.010471204188481676,2,True
