model,decoding_group,semantic_category,discourse_relation,n_runs,mean_localization_rate,sd_localization_rate,min_localization_rate,max_localization_rate,total_n_with_both,total_n_same_sentence
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Asynchronous,3,0.6984126984126983,0.14547859349066158,0.5714285714285714,0.8571428571428571,17,12
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Synchrony,3,1.0,0.0,1.0,1.0,5,5
Gemma 4 2B,Stochastic,Payoff,Comparison.Contrast,3,0.1468574582165805,0.01625697189749706,0.13402061855670103,0.1651376146788991,305,45
Gemma 4 2B,Stochastic,Payoff,Comparison.Concession,3,0.0,0.0,0.0,0.0,8,0
Gemma 4 2B,Stochastic,Payoff,Contingency.Cause,3,0.9334956975454235,0.008276034358937472,0.9247311827956989,0.9411764705882353,302,282
Gemma 4 2B,Stochastic,Payoff,Contingency.Condition,3,0.9218500797448166,0.050542111251964346,0.8636363636363636,0.9545454545454546,63,58
Gemma 4 2B,Stochastic,Payoff,Expansion.Conjunction,3,0.40935196834073234,0.08364510574210414,0.3146067415730337,0.47297297297297297,247,100
Gemma 4 2B,Stochastic,Payoff,Expansion.Alternative,3,0.5,0.5,0.0,1.0,8,3
Gemma 4 2B,Stochastic,Payoff,Expansion.Restatement,3,,,,,0,0
Gemma 4 2B,Stochastic,Payoff,Temporal.Asynchronous,3,0.014492753623188406,0.025102185616940248,0.0,0.043478260869565216,56,1
Gemma 4 2B,Stochastic,Payoff,Temporal.Synchrony,3,0.20833333333333334,0.1102396379610246,0.125,0.3333333333333333,26,5
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Contrast,3,0.6695287601720351,0.046470870283954906,0.6190476190476191,0.7105263157894737,241,161
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Concession,3,0.6666666666666666,0.5773502691896258,0.0,1.0,6,3
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Cause,3,0.5658014658014657,0.004575558578081131,0.5606060606060606,0.5692307692307692,205,116
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Condition,3,0.6452815044146313,0.10213016053816183,0.5294117647058824,0.7222222222222222,54,35
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Conjunction,3,0.5451851851851851,0.04099583437636062,0.5,0.58,169,92
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Alternative,3,0.9166666666666666,0.14433756729740646,0.75,1.0,11,10
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Restatement,3,,,,,0,0
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Asynchronous,3,0.12169312169312169,0.1126126807078982,0.0,0.2222222222222222,25,3
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Synchrony,3,0.15873015873015872,0.16723259925163075,0.0,0.3333333333333333,14,2
Gemma 4 2B,Greedy,Mechanical,Comparison.Contrast,1,0.0,,0.0,0.0,2,0
Gemma 4 2B,Greedy,Mechanical,Comparison.Concession,1,,,,,0,0
Gemma 4 2B,Greedy,Mechanical,Contingency.Cause,1,0.0,,0.0,0.0,2,0
Gemma 4 2B,Greedy,Mechanical,Contingency.Condition,1,0.5,,0.5,0.5,2,1
Gemma 4 2B,Greedy,Mechanical,Expansion.Conjunction,1,0.5,,0.5,0.5,2,1
Gemma 4 2B,Greedy,Mechanical,Expansion.Alternative,1,,,,,0,0
Gemma 4 2B,Greedy,Mechanical,Expansion.Restatement,1,,,,,0,0
Gemma 4 2B,Greedy,Mechanical,Temporal.Asynchronous,1,1.0,,1.0,1.0,1,1
Gemma 4 2B,Greedy,Mechanical,Temporal.Synchrony,1,,,,,0,0
Gemma 4 2B,Greedy,Testimony,Comparison.Contrast,1,0.7014925373134329,,0.7014925373134329,0.7014925373134329,67,47
Gemma 4 2B,Greedy,Testimony,Comparison.Concession,1,1.0,,1.0,1.0,2,2
Gemma 4 2B,Greedy,Testimony,Contingency.Cause,1,0.2222222222222222,,0.2222222222222222,0.2222222222222222,63,14
Gemma 4 2B,Greedy,Testimony,Contingency.Condition,1,0.2,,0.2,0.2,10,2
Gemma 4 2B,Greedy,Testimony,Expansion.Conjunction,1,0.7777777777777778,,0.7777777777777778,0.7777777777777778,54,42
Gemma 4 2B,Greedy,Testimony,Expansion.Alternative,1,1.0,,1.0,1.0,1,1
Gemma 4 2B,Greedy,Testimony,Expansion.Restatement,1,,,,,0,0
Gemma 4 2B,Greedy,Testimony,Temporal.Asynchronous,1,0.8888888888888888,,0.8888888888888888,0.8888888888888888,18,16
Gemma 4 2B,Greedy,Testimony,Temporal.Synchrony,1,1.0,,1.0,1.0,2,2
Gemma 4 2B,Greedy,SocialJudgment,Comparison.Contrast,1,0.9354838709677419,,0.9354838709677419,0.9354838709677419,62,58
Gemma 4 2B,Greedy,SocialJudgment,Comparison.Concession,1,,,,,0,0
Gemma 4 2B,Greedy,SocialJudgment,Contingency.Cause,1,0.34545454545454546,,0.34545454545454546,0.34545454545454546,55,19
Gemma 4 2B,Greedy,SocialJudgment,Contingency.Condition,1,0.0,,0.0,0.0,5,0
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Conjunction,1,0.7346938775510204,,0.7346938775510204,0.7346938775510204,49,36
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Alternative,1,0.5,,0.5,0.5,2,1
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Restatement,1,,,,,0,0
Gemma 4 2B,Greedy,SocialJudgment,Temporal.Asynchronous,1,0.6923076923076923,,0.6923076923076923,0.6923076923076923,13,9
Gemma 4 2B,Greedy,SocialJudgment,Temporal.Synchrony,1,1.0,,1.0,1.0,2,2
Gemma 4 2B,Greedy,Behavioral,Comparison.Contrast,1,0.6842105263157895,,0.6842105263157895,0.6842105263157895,19,13
Gemma 4 2B,Greedy,Behavioral,Comparison.Concession,1,,,,,0,0
Gemma 4 2B,Greedy,Behavioral,Contingency.Cause,1,0.42857142857142855,,0.42857142857142855,0.42857142857142855,21,9
Gemma 4 2B,Greedy,Behavioral,Contingency.Condition,1,0.0,,0.0,0.0,4,0
Gemma 4 2B,Greedy,Behavioral,Expansion.Conjunction,1,0.5,,0.5,0.5,12,6
Gemma 4 2B,Greedy,Behavioral,Expansion.Alternative,1,1.0,,1.0,1.0,1,1
Gemma 4 2B,Greedy,Behavioral,Expansion.Restatement,1,,,,,0,0
Gemma 4 2B,Greedy,Behavioral,Temporal.Asynchronous,1,1.0,,1.0,1.0,2,2
Gemma 4 2B,Greedy,Behavioral,Temporal.Synchrony,1,1.0,,1.0,1.0,1,1
Gemma 4 2B,Greedy,ClaimComparison,Comparison.Contrast,1,0.7777777777777778,,0.7777777777777778,0.7777777777777778,9,7
Gemma 4 2B,Greedy,ClaimComparison,Comparison.Concession,1,1.0,,1.0,1.0,1,1
Gemma 4 2B,Greedy,ClaimComparison,Contingency.Cause,1,0.0,,0.0,0.0,8,0
Gemma 4 2B,Greedy,ClaimComparison,Contingency.Condition,1,0.3333333333333333,,0.3333333333333333,0.3333333333333333,3,1
Gemma 4 2B,Greedy,ClaimComparison,Expansion.Conjunction,1,0.8,,0.8,0.8,10,8
Gemma 4 2B,Greedy,ClaimComparison,Expansion.Alternative,1,,,,,0,0
Gemma 4 2B,Greedy,ClaimComparison,Expansion.Restatement,1,,,,,0,0
Gemma 4 2B,Greedy,ClaimComparison,Temporal.Asynchronous,1,0.8,,0.8,0.8,5,4
Gemma 4 2B,Greedy,ClaimComparison,Temporal.Synchrony,1,,,,,0,0
Gemma 4 2B,Greedy,Payoff,Comparison.Contrast,1,0.0761904761904762,,0.0761904761904762,0.0761904761904762,105,8
Gemma 4 2B,Greedy,Payoff,Comparison.Concession,1,0.5,,0.5,0.5,2,1
Gemma 4 2B,Greedy,Payoff,Contingency.Cause,1,0.9459459459459459,,0.9459459459459459,0.9459459459459459,111,105
Gemma 4 2B,Greedy,Payoff,Contingency.Condition,1,0.9354838709677419,,0.9354838709677419,0.9354838709677419,31,29
Gemma 4 2B,Greedy,Payoff,Expansion.Conjunction,1,0.3707865168539326,,0.3707865168539326,0.3707865168539326,89,33
Gemma 4 2B,Greedy,Payoff,Expansion.Alternative,1,0.0,,0.0,0.0,3,0
Gemma 4 2B,Greedy,Payoff,Expansion.Restatement,1,,,,,0,0
Gemma 4 2B,Greedy,Payoff,Temporal.Asynchronous,1,0.0,,0.0,0.0,20,0
Gemma 4 2B,Greedy,Payoff,Temporal.Synchrony,1,0.0,,0.0,0.0,4,0
Gemma 4 2B,Greedy,Uncertainty,Comparison.Contrast,1,0.6629213483146067,,0.6629213483146067,0.6629213483146067,89,59
Gemma 4 2B,Greedy,Uncertainty,Comparison.Concession,1,0.5,,0.5,0.5,2,1
Gemma 4 2B,Greedy,Uncertainty,Contingency.Cause,1,0.5348837209302325,,0.5348837209302325,0.5348837209302325,86,46
Gemma 4 2B,Greedy,Uncertainty,Contingency.Condition,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,27,18
Gemma 4 2B,Greedy,Uncertainty,Expansion.Conjunction,1,0.5666666666666667,,0.5666666666666667,0.5666666666666667,60,34
Gemma 4 2B,Greedy,Uncertainty,Expansion.Alternative,1,0.8,,0.8,0.8,5,4
Gemma 4 2B,Greedy,Uncertainty,Expansion.Restatement,1,,,,,0,0
Gemma 4 2B,Greedy,Uncertainty,Temporal.Asynchronous,1,0.0,,0.0,0.0,10,0
Gemma 4 2B,Greedy,Uncertainty,Temporal.Synchrony,1,0.0,,0.0,0.0,1,0
Gemma 4 4B,Stochastic,Mechanical,Comparison.Contrast,3,0.5481481481481482,0.13440923934536336,0.4444444444444444,0.7,29,16
Gemma 4 4B,Stochastic,Mechanical,Comparison.Concession,3,0.0,,0.0,0.0,1,0
Gemma 4 4B,Stochastic,Mechanical,Contingency.Cause,3,0.35185185185185186,0.13981174880131017,0.2222222222222222,0.5,19,6
Gemma 4 4B,Stochastic,Mechanical,Contingency.Condition,3,0.3333333333333333,0.5773502691896258,0.0,1.0,4,1
Gemma 4 4B,Stochastic,Mechanical,Expansion.Conjunction,3,0.2642857142857143,0.12916529514303662,0.14285714285714285,0.4,16,4
Gemma 4 4B,Stochastic,Mechanical,Expansion.Alternative,3,,,,,0,0
Gemma 4 4B,Stochastic,Mechanical,Expansion.Restatement,3,,,,,0,0
Gemma 4 4B,Stochastic,Mechanical,Temporal.Asynchronous,3,0.8888888888888888,0.1924500897298753,0.6666666666666666,1.0,7,6
Gemma 4 4B,Stochastic,Mechanical,Temporal.Synchrony,3,0.0,0.0,0.0,0.0,3,0
Gemma 4 4B,Stochastic,Testimony,Comparison.Contrast,3,0.5727979596071452,0.009954263246355826,0.5652173913043478,0.584070796460177,351,201
Gemma 4 4B,Stochastic,Testimony,Comparison.Concession,3,0.625,0.1767766952966369,0.5,0.75,6,4
Gemma 4 4B,Stochastic,Testimony,Contingency.Cause,3,0.5341302841302841,0.07637739340484925,0.4807692307692308,0.6216216216216216,139,73
Gemma 4 4B,Stochastic,Testimony,Contingency.Condition,3,0.2966524216524216,0.2851590260265854,0.1111111111111111,0.625,30,8
Gemma 4 4B,Stochastic,Testimony,Expansion.Conjunction,3,0.5656094527363185,0.015166353729175611,0.5522388059701493,0.582089552238806,198,112
Gemma 4 4B,Stochastic,Testimony,Expansion.Alternative,3,1.0,,1.0,1.0,1,1
Gemma 4 4B,Stochastic,Testimony,Expansion.Restatement,3,,,,,0,0
Gemma 4 4B,Stochastic,Testimony,Temporal.Asynchronous,3,0.8705134930349129,0.02462242900443137,0.8421052631578947,0.8857142857142857,116,101
Gemma 4 4B,Stochastic,Testimony,Temporal.Synchrony,3,0.5384615384615384,0.1794871794871795,0.3333333333333333,0.6666666666666666,25,15
Gemma 4 4B,Stochastic,SocialJudgment,Comparison.Contrast,3,0.7209126942369076,0.05898056074442719,0.6538461538461539,0.7647058823529411,249,180
Gemma 4 4B,Stochastic,SocialJudgment,Comparison.Concession,3,0.6666666666666666,0.4714045207910317,0.3333333333333333,1.0,4,2
Gemma 4 4B,Stochastic,SocialJudgment,Contingency.Cause,3,0.34227614490772384,0.04382075813148553,0.3157894736842105,0.39285714285714285,69,24
Gemma 4 4B,Stochastic,SocialJudgment,Contingency.Condition,3,0.13888888888888887,0.1272937693043289,0.0,0.25,13,2
Gemma 4 4B,Stochastic,SocialJudgment,Expansion.Conjunction,3,0.7168911335578002,0.11044057611731906,0.6136363636363636,0.8333333333333334,152,110
Gemma 4 4B,Stochastic,SocialJudgment,Expansion.Alternative,3,0.0,,0.0,0.0,1,0
Gemma 4 4B,Stochastic,SocialJudgment,Expansion.Restatement,3,,,,,0,0
Gemma 4 4B,Stochastic,SocialJudgment,Temporal.Asynchronous,3,0.5076804915514593,0.060275957475371504,0.45161290322580644,0.5714285714285714,82,41
Gemma 4 4B,Stochastic,SocialJudgment,Temporal.Synchrony,3,0.6666666666666666,0.28867513459481287,0.5,1.0,18,10
Gemma 4 4B,Stochastic,Behavioral,Comparison.Contrast,3,0.7516111375955647,0.0518056042157071,0.7096774193548387,0.8095238095238095,264,198
Gemma 4 4B,Stochastic,Behavioral,Comparison.Concession,3,0.0,,0.0,0.0,2,0
Gemma 4 4B,Stochastic,Behavioral,Contingency.Cause,3,0.3452380952380952,0.08987898137227082,0.25,0.42857142857142855,80,28
Gemma 4 4B,Stochastic,Behavioral,Contingency.Condition,3,0.375,0.1767766952966369,0.25,0.5,12,4
Gemma 4 4B,Stochastic,Behavioral,Expansion.Conjunction,3,0.6388620245003224,0.07853418389560562,0.5681818181818182,0.723404255319149,139,89
Gemma 4 4B,Stochastic,Behavioral,Expansion.Alternative,3,0.0,,0.0,0.0,1,0
Gemma 4 4B,Stochastic,Behavioral,Expansion.Restatement,3,,,,,0,0
Gemma 4 4B,Stochastic,Behavioral,Temporal.Asynchronous,3,0.46103395061728397,0.056182960609703646,0.40625,0.5185185185185185,83,38
Gemma 4 4B,Stochastic,Behavioral,Temporal.Synchrony,3,0.7119047619047619,0.09854381945988037,0.6,0.7857142857142857,32,23
Gemma 4 4B,Stochastic,ClaimComparison,Comparison.Contrast,3,0.5652130325814536,0.12222385194072699,0.44,0.6842105263157895,72,40
Gemma 4 4B,Stochastic,ClaimComparison,Comparison.Concession,3,0.0,0.0,0.0,0.0,2,0
Gemma 4 4B,Stochastic,ClaimComparison,Contingency.Cause,3,0.2831168831168831,0.08184909743682457,0.2,0.36363636363636365,23,7
Gemma 4 4B,Stochastic,ClaimComparison,Contingency.Condition,3,0.25,0.3535533905932738,0.0,0.5,3,1
Gemma 4 4B,Stochastic,ClaimComparison,Expansion.Conjunction,3,0.4349128540305011,0.19502770853646795,0.23529411764705882,0.625,51,22
Gemma 4 4B,Stochastic,ClaimComparison,Expansion.Alternative,3,,,,,0,0
Gemma 4 4B,Stochastic,ClaimComparison,Expansion.Restatement,3,,,,,0,0
Gemma 4 4B,Stochastic,ClaimComparison,Temporal.Asynchronous,3,0.947089947089947,0.055744199750543615,0.8888888888888888,1.0,61,58
Gemma 4 4B,Stochastic,ClaimComparison,Temporal.Synchrony,3,0.5555555555555555,0.5091750772173156,0.0,1.0,5,3
Gemma 4 4B,Stochastic,Payoff,Comparison.Contrast,3,0.20042643481860992,0.03466412088385364,0.17543859649122806,0.24,327,65
Gemma 4 4B,Stochastic,Payoff,Comparison.Concession,3,0.5,0.7071067811865476,0.0,1.0,5,1
Gemma 4 4B,Stochastic,Payoff,Contingency.Cause,3,0.5181560283687944,0.049782384439810194,0.48,0.574468085106383,139,72
Gemma 4 4B,Stochastic,Payoff,Contingency.Condition,3,0.9076923076923077,0.10088366960464615,0.8,1.0,32,29
Gemma 4 4B,Stochastic,Payoff,Expansion.Conjunction,3,0.33241836793046264,0.056104412103090404,0.27586206896551724,0.3880597014925373,194,65
Gemma 4 4B,Stochastic,Payoff,Expansion.Alternative,3,0.0,,0.0,0.0,2,0
Gemma 4 4B,Stochastic,Payoff,Expansion.Restatement,3,,,,,0,0
Gemma 4 4B,Stochastic,Payoff,Temporal.Asynchronous,3,0.03619047619047619,0.04054056505484336,0.0,0.08,88,3
