model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_with_category,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 31B,Greedy,Testimony,Comparison,1,0.43915343915343913,,0.43915343915343913,0.43915343915343913,189.0,189,83,False
Gemma 4 31B,Greedy,Testimony,Contingency,1,0.5291005291005291,,0.5291005291005291,0.5291005291005291,189.0,189,100,False
Gemma 4 31B,Greedy,Testimony,Expansion,1,0.6296296296296297,,0.6296296296296297,0.6296296296296297,189.0,189,119,False
Gemma 4 31B,Greedy,Testimony,Temporal,1,0.42857142857142855,,0.42857142857142855,0.42857142857142855,189.0,189,81,False
Gemma 4 31B,Greedy,Testimony,Any explicit,1,0.9523809523809523,,0.9523809523809523,0.9523809523809523,189.0,189,180,False
Gemma 4 31B,Greedy,SocialJudgment,Comparison,1,0.5862068965517241,,0.5862068965517241,0.5862068965517241,58.0,58,34,False
Gemma 4 31B,Greedy,SocialJudgment,Contingency,1,0.3448275862068966,,0.3448275862068966,0.3448275862068966,58.0,58,20,False
Gemma 4 31B,Greedy,SocialJudgment,Expansion,1,0.6206896551724138,,0.6206896551724138,0.6206896551724138,58.0,58,36,False
Gemma 4 31B,Greedy,SocialJudgment,Temporal,1,0.39655172413793105,,0.39655172413793105,0.39655172413793105,58.0,58,23,False
Gemma 4 31B,Greedy,SocialJudgment,Any explicit,1,0.9655172413793104,,0.9655172413793104,0.9655172413793104,58.0,58,56,False
Gemma 4 31B,Greedy,Behavioral,Comparison,1,0.48717948717948717,,0.48717948717948717,0.48717948717948717,117.0,117,57,False
Gemma 4 31B,Greedy,Behavioral,Contingency,1,0.49572649572649574,,0.49572649572649574,0.49572649572649574,117.0,117,58,False
Gemma 4 31B,Greedy,Behavioral,Expansion,1,0.6324786324786325,,0.6324786324786325,0.6324786324786325,117.0,117,74,False
Gemma 4 31B,Greedy,Behavioral,Temporal,1,0.48717948717948717,,0.48717948717948717,0.48717948717948717,117.0,117,57,False
Gemma 4 31B,Greedy,Behavioral,Any explicit,1,0.9829059829059829,,0.9829059829059829,0.9829059829059829,117.0,117,115,False
Gemma 4 31B,Greedy,ClaimComparison,Comparison,1,0.47368421052631576,,0.47368421052631576,0.47368421052631576,114.0,114,54,False
Gemma 4 31B,Greedy,ClaimComparison,Contingency,1,0.47368421052631576,,0.47368421052631576,0.47368421052631576,114.0,114,54,False
Gemma 4 31B,Greedy,ClaimComparison,Expansion,1,0.6578947368421053,,0.6578947368421053,0.6578947368421053,114.0,114,75,False
Gemma 4 31B,Greedy,ClaimComparison,Temporal,1,0.4824561403508772,,0.4824561403508772,0.4824561403508772,114.0,114,55,False
Gemma 4 31B,Greedy,ClaimComparison,Any explicit,1,0.9736842105263158,,0.9736842105263158,0.9736842105263158,114.0,114,111,False
Gemma 4 31B,Greedy,Payoff,Comparison,1,0.4107142857142857,,0.4107142857142857,0.4107142857142857,56.0,56,23,False
Gemma 4 31B,Greedy,Payoff,Contingency,1,0.6964285714285714,,0.6964285714285714,0.6964285714285714,56.0,56,39,False
Gemma 4 31B,Greedy,Payoff,Expansion,1,0.6964285714285714,,0.6964285714285714,0.6964285714285714,56.0,56,39,False
Gemma 4 31B,Greedy,Payoff,Temporal,1,0.3392857142857143,,0.3392857142857143,0.3392857142857143,56.0,56,19,False
Gemma 4 31B,Greedy,Payoff,Any explicit,1,0.9464285714285714,,0.9464285714285714,0.9464285714285714,56.0,56,53,False
Gemma 4 31B,Greedy,Uncertainty,Comparison,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,15.0,15,10,True
Gemma 4 31B,Greedy,Uncertainty,Contingency,1,0.4666666666666667,,0.4666666666666667,0.4666666666666667,15.0,15,7,True
Gemma 4 31B,Greedy,Uncertainty,Expansion,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,15.0,15,10,True
Gemma 4 31B,Greedy,Uncertainty,Temporal,1,0.5333333333333333,,0.5333333333333333,0.5333333333333333,15.0,15,8,True
Gemma 4 31B,Greedy,Uncertainty,Any explicit,1,1.0,,1.0,1.0,15.0,15,15,True
