model,decoding_group,semantic_category,discourse_relation,n_runs,mean_relations_per_100_words,sd_relations_per_100_words,min_relations_per_100_words,max_relations_per_100_words,mean_per_justification_density,total_words,total_relations,low_support_diagnostic
Gemma 4 2B,Stochastic,Mechanical,Comparison,3,0.8860537081942444,0.1843887150371571,0.6802721088435374,1.0362694300518134,0.7798248919967561,1211,11,True
Gemma 4 2B,Stochastic,Mechanical,Contingency,3,1.563644104636966,0.2323788311219981,1.2953367875647668,1.7006802721088434,1.5838348750634565,1211,19,True
Gemma 4 2B,Stochastic,Mechanical,Expansion,3,1.3045767471240126,0.6810848781508173,0.5181347150259067,1.7006802721088434,1.160789212102418,1211,16,True
Gemma 4 2B,Stochastic,Mechanical,Temporal,3,0.2860902564825585,0.2632614801578629,0.0,0.5181347150259067,0.2666439177188055,1211,3,True
Gemma 4 2B,Stochastic,Mechanical,Any explicit,3,4.040364816437782,0.5841409286825958,3.3678756476683938,4.421768707482993,3.7910928968814357,1211,49,True
Gemma 4 2B,Stochastic,Testimony,Comparison,3,0.9428681364394483,0.032371158298437744,0.9115361625821877,0.9761869545925159,0.9357961934311456,19830,187,False
Gemma 4 2B,Stochastic,Testimony,Contingency,3,0.9643439197515392,0.2139943308705616,0.7395355716609969,1.1655708308427974,0.9742167566566593,19830,191,False
Gemma 4 2B,Stochastic,Testimony,Expansion,3,0.9021289175901784,0.1145096996988564,0.7919904363419008,1.0205590888921756,0.8936544653947177,19830,179,False
Gemma 4 2B,Stochastic,Testimony,Temporal,3,0.3784017216886805,0.09810841764967465,0.26897788404064554,0.4585120544298181,0.3786327537272632,19830,75,False
Gemma 4 2B,Stochastic,Testimony,Any explicit,3,3.1877426954698467,0.0465441899170224,3.1380753138075312,3.2303591030265015,3.1823001692097854,19830,632,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison,3,0.9306679656846842,0.07002680781345691,0.850634371395617,0.9806708357021034,0.9209832710194984,21987,205,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency,3,0.9674432025987955,0.13782644191344934,0.8669698692438885,1.1245674740484428,0.9731612486771507,21987,212,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion,3,0.9836043558181692,0.09102696313611068,0.8794694348327566,1.0480349344978166,0.9742494303899595,21987,217,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal,3,0.31355621450664095,0.09773547869344634,0.21626297577854672,0.4117280099812851,0.31504252926098386,21987,70,False
Gemma 4 2B,Stochastic,SocialJudgment,Any explicit,3,3.1952717386082896,0.1305499061977811,3.0709342560553634,3.3312538989394884,3.1834364793475927,21987,704,False
Gemma 4 2B,Stochastic,Behavioral,Comparison,3,0.7552789162764237,0.11680986748539865,0.6811409110259685,0.8899297423887588,0.75450980154592,6643,50,False
Gemma 4 2B,Stochastic,Behavioral,Contingency,3,0.9531104685296269,0.1593273727960088,0.8088548318433376,1.1241217798594847,0.9486288721586028,6643,63,False
Gemma 4 2B,Stochastic,Behavioral,Expansion,3,0.7975031113489853,0.010781130707719877,0.7874015748031497,0.8088548318433376,0.8022609391840848,6643,53,False
Gemma 4 2B,Stochastic,Behavioral,Temporal,3,0.2994886676813295,0.09826124436933113,0.1873536299765808,0.37054191755442334,0.29950600857611703,6643,20,False
Gemma 4 2B,Stochastic,Behavioral,Any explicit,3,2.8053811638363655,0.18056266407761395,2.639421030225628,2.997658079625293,2.8049056214647248,6643,186,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison,3,0.9309992234828837,0.31604075431108813,0.5681818181818182,1.146384479717813,0.9036747759566879,3034,29,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency,3,0.8923502060756962,0.4276288409755372,0.5291005291005291,1.3636363636363635,0.948630070449984,3034,26,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion,3,0.9929594733516303,0.18487058509062,0.7843137254901961,1.1363636363636365,1.018570159504292,3034,30,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal,3,0.7949672573855581,0.34983815823284325,0.39215686274509803,1.0227272727272727,0.8162011232152876,3034,24,True
Gemma 4 2B,Stochastic,ClaimComparison,Any explicit,3,3.6112761602957684,0.5319040255753744,3.0392156862745097,4.090909090909091,3.6870761291262517,3034,109,True
Gemma 4 2B,Stochastic,Payoff,Comparison,3,0.9660025064756322,0.043472325826564774,0.9177613820406694,1.0021413276231264,0.9594559624992849,33933,328,False
Gemma 4 2B,Stochastic,Payoff,Contingency,3,1.1591174572494911,0.10279335346685084,1.094759511844939,1.2776678063703437,1.159116216241151,33933,393,False
Gemma 4 2B,Stochastic,Payoff,Expansion,3,0.9596593146910021,0.12247807894186839,0.818787115350009,1.0409188801148601,0.941330855652911,33933,326,False
Gemma 4 2B,Stochastic,Payoff,Temporal,3,0.25360700585064816,0.06367564089468113,0.19794853338132085,0.3230437903804738,0.2576916535722134,33933,86,False
Gemma 4 2B,Stochastic,Payoff,Any explicit,3,3.3383862842667735,0.11487862322672299,3.212164837142343,3.436826992103374,3.31759468796556,33933,1133,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison,3,1.1418272737128388,0.048856649090702614,1.1074918566775245,1.1977607082411144,1.1429992790014776,23033,263,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency,3,1.1895946417145886,0.045635321893075564,1.1465798045602607,1.2374625504754462,1.1821588895133044,23033,274,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion,3,0.9638278219074797,0.13529169321667134,0.807607138205028,1.0423452768729642,0.9461564672315325,23033,222,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal,3,0.17801189785421226,0.027178655452171806,0.1562296575966671,0.20846905537459284,0.18002105475405858,23033,41,False
