role_definition,label,diff_per_100_turns,ci_low,ci_high,excludes_zero,ci_low_adj,ci_high_adj,excludes_zero_adj,family_size,inconclusive_at_this_n,n_games_werewolf,n_speakers_werewolf
start,Accusation,-0.5440995799043229,-1.8982197065179913,0.8757668550674286,False,-2.5477385367048435,1.5314511960587855,False,12,True,162,221
start,Call for Action,-0.2680444699210529,-1.1373101638456304,0.6381595367270765,False,-1.5029326396129743,1.046041030667987,False,12,True,162,221
start,Defense,-0.28142908208531026,-1.6979081638489972,1.169097961614738,False,-2.262716419605888,1.8125105350094066,False,12,True,162,221
start,Evidence,-0.5214363117886034,-1.6324960142937979,0.6150704596547696,False,-2.1230106537027216,1.092768555709054,False,12,True,162,221
start,Identity Declaration,-0.11308487736072337,-0.8034466641635172,0.5942848970885997,False,-1.0724290735644706,1.0047677247001678,False,12,True,162,221
start,Interrogation,1.1680740972129442,-0.29612708170593194,2.6664032357589647,False,-0.9886788331486187,3.228169251995631,False,12,True,162,221
end,Accusation,0.23601823387316045,-1.137123640211976,1.628552320492085,False,-1.771859302130449,2.263612089043554,False,12,True,165,229
end,Call for Action,0.482338481627818,-0.47215022604398454,1.4392149542493713,False,-0.901487996613331,1.8734934200013003,False,12,True,165,229
end,Defense,-0.04448959531168484,-1.5472281254987263,1.487901883612861,False,-2.3705500318696404,2.131673794513036,False,12,True,165,229
end,Evidence,-0.9670782845088617,-2.0311290491626592,0.15487598899043717,False,-2.5257150206436556,0.5980337842702332,False,12,True,165,229
end,Identity Declaration,0.030371528275837,-0.6599051961610357,0.7372276541225633,False,-0.9263920832379668,1.1405760970239607,False,12,True,165,229
end,Interrogation,0.7305627670539145,-0.7371533645552566,2.2355508529311345,False,-1.4685861503691633,2.811463913781519,False,12,True,165,229
