model,decoding_group,semantic_category,discourse_relation,n_runs,mean_joint_prevalence,sd_joint_prevalence,mean_lift,sd_lift,mean_support,total_support,support_is_thin
Gemma 4 2B,Stochastic,Mechanical,Comparison,3,0.0016483764620873413,0.0016529110704859768,0.8298136645962733,0.7417844724322085,1.0,3,True
Gemma 4 2B,Stochastic,Mechanical,Contingency,3,0.0027726035559603036,0.0009820011425584474,1.2923458655492848,0.21233625074116552,1.6666666666666667,5,True
Gemma 4 2B,Stochastic,Mechanical,Expansion,3,0.0038543503712150343,0.0018776614831499839,2.219404742915305,1.0943009298816986,2.3333333333333335,7,True
Gemma 4 2B,Stochastic,Mechanical,Temporal,3,0.0005621135469364812,0.0009736092229167381,1.267094017094017,2.194671215573385,0.3333333333333333,1,True
Gemma 4 2B,Stochastic,Mechanical,Any explicit,3,0.006080505839743645,0.0018926754924611482,1.165313069834774,0.21424765371090107,3.6666666666666665,11,True
Gemma 4 2B,Stochastic,Testimony,Comparison,3,0.0680830389681542,0.00540769061006475,1.49585967309843,0.0378292839473113,41.0,123,False
Gemma 4 2B,Stochastic,Testimony,Contingency,3,0.02113464687107007,0.01239686809789405,0.4095619627161209,0.17418041332982814,12.666666666666666,38,False
Gemma 4 2B,Stochastic,Testimony,Expansion,3,0.06518722889597199,0.01170710739666321,1.5762690119571665,0.2103448647242035,39.333333333333336,118,False
Gemma 4 2B,Stochastic,Testimony,Temporal,3,0.030946578346070185,0.0038685635805509244,2.5961271115700817,0.6736302196007038,18.666666666666668,56,False
Gemma 4 2B,Stochastic,Testimony,Any explicit,3,0.14884192500395443,0.010799653527453915,1.2154811582140408,0.03362948168523031,89.66666666666667,269,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison,3,0.09176250432285193,0.011110451013582866,1.5456133534543366,0.1249476383322559,55.333333333333336,166,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency,3,0.038751389005345374,0.003947043375100783,0.6050635052776285,0.060354983795182726,23.333333333333332,70,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion,3,0.07734400625582648,0.010093212557850504,1.43581866012744,0.11635909844046313,46.666666666666664,140,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal,3,0.029772955933603126,0.010474542729037075,1.8114660762341257,0.13342978383848206,18.0,54,False
Gemma 4 2B,Stochastic,SocialJudgment,Any explicit,3,0.19951087515694974,0.018283952343504897,1.2494628938508345,0.06893473792517807,120.33333333333333,361,False
Gemma 4 2B,Stochastic,Behavioral,Comparison,3,0.017746300129946397,0.005077412993322453,1.426608641185432,0.3262305858174206,10.666666666666666,32,False
Gemma 4 2B,Stochastic,Behavioral,Contingency,3,0.009952638830279864,0.0016118512075616296,0.7473402967391984,0.1346788982441652,6.0,18,False
Gemma 4 2B,Stochastic,Behavioral,Expansion,3,0.012749940045537214,0.003946074733605001,1.1712127059051076,0.46064822496212837,7.666666666666667,23,False
Gemma 4 2B,Stochastic,Behavioral,Temporal,3,0.006071473639951384,0.0018412021861917566,1.7965881108312087,0.11982515013891021,3.6666666666666665,11,False
Gemma 4 2B,Stochastic,Behavioral,Any explicit,3,0.03708283098385711,0.0030124130916841306,1.1171390785230184,0.08974195068063538,22.333333333333332,67,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison,3,0.00940167464295204,0.002509805273292603,1.719579271216779,0.16238408098990767,5.666666666666667,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency,3,0.001655009721799869,0.0016395687939773358,0.2524363024452512,0.2504350904927928,1.0,3,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion,3,0.009374859823838596,0.003326713585254622,1.8897819187412874,0.38783305740877694,5.666666666666667,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal,3,0.009363710464229938,0.004056303395387267,6.5550808190693415,3.071485014196102,5.666666666666667,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Any explicit,3,0.019327498654118456,0.00456066922050332,1.3301882079366945,0.18395825227891457,11.666666666666666,35,True
Gemma 4 2B,Stochastic,Payoff,Comparison,3,0.024875104706118797,0.004254757529025609,0.38908781721322633,0.042174869227329284,15.0,45,False
Gemma 4 2B,Stochastic,Payoff,Contingency,3,0.16658187365445165,0.01066859455111862,2.4215495328896015,0.12184235818503145,100.33333333333333,301,False
Gemma 4 2B,Stochastic,Payoff,Expansion,3,0.056468757156361925,0.007734933883927508,0.9851014017731075,0.18127070869133563,34.0,102,False
Gemma 4 2B,Stochastic,Payoff,Temporal,3,0.003314535543495868,0.0016333465239239061,0.18946874644582115,0.07375297192332494,2.0,6,False
Gemma 4 2B,Stochastic,Payoff,Any explicit,3,0.20307817521233854,0.012611369192222352,1.1860864284844075,0.05852754159153509,122.33333333333333,367,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison,3,0.0929289299150798,0.0018182554590567336,1.482935519851405,0.08663717799045462,56.0,168,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency,3,0.06641899704656205,0.005307123744503208,0.9795540687007914,0.0835076592444401,40.0,120,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion,3,0.058038524540661995,0.006669690297188057,1.0188252670688298,0.08256504468024722,35.0,105,False
