model,metric,level,n_games,base_per_100w,derivation_per_100w,delta,ci_low,ci_high,ci_excludes_zero
Gemma 4 4B,All relations,overall,191,2.8009710237396654,3.174244097610343,0.37327307387067776,0.18967838894577946,0.5606900828191383,True
Gemma 4 4B,Comparison,top_level,191,1.2012175249567936,0.9900022272640604,-0.21121529769273317,-0.30688977551929597,-0.1182175962558341,True
Gemma 4 4B,Contingency,top_level,191,0.5091709372414551,1.0439817414036592,0.5348108041622041,0.41629062443172854,0.652748259253402,True
Gemma 4 4B,Expansion,top_level,191,0.6516963297248429,0.8802333756660315,0.22853704594118862,0.11909064287972279,0.34022620909407447,True
Gemma 4 4B,Temporal,top_level,191,0.43888623181657355,0.2600267532765927,-0.17885947853998085,-0.2668381580317627,-0.08967826028561939,True
Gemma 4 4B,Comparison.Concession,sense,191,0.01493044250389257,0.004487053981779556,-0.010443388522113014,-0.02341548509758479,0.002368174241908733,False
Gemma 4 4B,Comparison.Contrast,sense,191,1.1862870824529013,0.9855151732822809,-0.20077190917062038,-0.29544343622020863,-0.10928884820670223,True
Gemma 4 4B,Contingency.Cause,sense,191,0.4303394961396476,0.9610093738061343,0.5306698776664867,0.42160567104867386,0.6403082187917877,True
Gemma 4 4B,Contingency.Condition,sense,191,0.07883144110180756,0.08297236759752492,0.004140926495717359,-0.033400774427393594,0.040852968064340876,False
Gemma 4 4B,Expansion.Alternative,sense,191,0.0042732303484819345,0.029141716437455067,0.024868486088973133,0.009245971324769807,0.04250266430292959,True
Gemma 4 4B,Expansion.Conjunction,sense,191,0.6474230993763611,0.8510916592285764,0.20366855985221533,0.09423726897840334,0.3164547272329919,True
Gemma 4 4B,Expansion.Restatement,sense,191,0.0,0.0,0.0,0.0,0.0,False
Gemma 4 4B,Temporal.Asynchronous,sense,191,0.3280756467668948,0.21963280239996053,-0.1084428443669343,-0.17974123347020637,-0.03798125461759596,True
Gemma 4 4B,Temporal.Synchrony,sense,191,0.11081058504967872,0.04039395087663213,-0.07041663417304658,-0.12030242841915105,-0.02444271574509339,True
