model,decoding_group,top_level,raw_sense,n_runs,total_count,mean_count_per_run,mean_per_100_words,sd_per_100_words,mean_pct_of_relations,sd_pct_of_relations
Gemma 4 2B,Stochastic,Comparison,Comparison.Concession,3,3,1.0,0.007663170644226447,0.007640108435561667,0.23428621382988024,0.24447047904199187
Gemma 4 2B,Stochastic,Comparison,Comparison.Contrast,3,356,118.66666666666667,0.9071066868995574,0.030388419986518728,26.31059404195311,3.2699185575143965
Gemma 4 2B,Stochastic,Contingency,Contingency.Cause,3,398,132.66666666666666,1.0138962910918334,0.20066440980306088,29.000636304617938,3.415308043487571
Gemma 4 2B,Stochastic,Contingency,Contingency.Condition,3,91,30.333333333333332,0.23159252157819885,0.08018079327048515,6.583337990968487,1.8089670902003536
Gemma 4 2B,Stochastic,Expansion,Expansion.Alternative,3,10,3.3333333333333335,0.02541337489323141,0.015828839036188126,0.7514126965701174,0.505696250777511
Gemma 4 2B,Stochastic,Expansion,Expansion.Conjunction,3,393,131.0,1.0015655514125328,0.15694363557625365,28.740973144792264,2.537998844791232
Gemma 4 2B,Stochastic,Temporal,Temporal.Asynchronous,3,80,26.666666666666668,0.20380340186474966,0.05512845102964512,5.993627638550315,2.2022845219613796
Gemma 4 2B,Stochastic,Temporal,Temporal.Synchrony,3,32,10.666666666666666,0.08151070035387867,0.015755980041367548,2.3851319687178894,0.6827202450808797
Gemma 4 4B,Stochastic,Comparison,Comparison.Concession,3,2,0.6666666666666666,0.004487053981779556,0.00388607596626526,0.14199519121716644,0.12297165201039993
Gemma 4 4B,Stochastic,Comparison,Comparison.Contrast,3,440,146.66666666666666,0.9855151732822809,0.03887577588944914,31.046295275159853,1.1399608669218895
Gemma 4 4B,Stochastic,Contingency,Contingency.Cause,3,429,143.0,0.9610093738061343,0.030587185157457692,30.270878568711044,0.6643172879881631
Gemma 4 4B,Stochastic,Contingency,Contingency.Condition,3,37,12.333333333333334,0.08297236759752492,0.022173272409822403,2.612568903773789,0.6908116800851479
Gemma 4 4B,Stochastic,Expansion,Expansion.Alternative,3,13,4.333333333333333,0.029141716437455067,0.014009536396978746,0.9151663817221456,0.433934548325918
Gemma 4 4B,Stochastic,Expansion,Expansion.Conjunction,3,380,126.66666666666667,0.8510916592285764,0.04286905299257194,26.821058700342956,1.571371363247537
Gemma 4 4B,Stochastic,Temporal,Temporal.Asynchronous,3,98,32.666666666666664,0.21963280239996053,0.028433457070843566,6.92077125025886,0.9066575767423806
Gemma 4 4B,Stochastic,Temporal,Temporal.Synchrony,3,18,6.0,0.04039395087663213,0.01807896295069542,1.2712657288141835,0.5657022626553477
