model,decoding_group,n_runs,Contingency_per_100_words_mean,Contingency_per_100_words_sd,Comparison_per_100_words_mean,Comparison_per_100_words_sd,Expansion_per_100_words_mean,Expansion_per_100_words_sd,Temporal_per_100_words_mean,Temporal_per_100_words_sd
Gemma 4 2B,Stochastic,3,1.2454888126700323,0.27396991004675597,0.9147698575437838,0.03795903806113534,1.0269789263057643,0.1438325980682881,0.28531410221862835,0.07072306555109847
Gemma 4 4B,Stochastic,3,1.043981741403659,0.04039731901346509,0.9900022272640604,0.035475115649929646,0.8802333756660315,0.03243332771384621,0.2600267532765927,0.044885220036805215
